name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acetilactobacillus	2767874	G	2436484	295	2436779	0.14654
Apilactobacillus	2767877	G	880990	29955	910945	0.05478
Nicoliella	2978367	G	732225	21321	753546	0.04532
Lactobacillus	1578	G	521127	78945	600072	0.03609
Fructilactobacillus	2767881	G	487551	50059	537610	0.03233
Lentilactobacillus	2767893	G	376588	99522	476110	0.02863
Fructobacillus	559173	G	311056	8785	319841	0.01923
Limosilactobacillus	2742598	G	262289	87719	350008	0.02105
Ligilactobacillus	2767887	G	255949	58291	314240	0.01890
Companilactobacillus	2767879	G	232466	42454	274920	0.01653
Pediococcus	1253	G	229425	147509	376934	0.02267
Levilactobacillus	2767886	G	162011	78323	240334	0.01445
Lactiplantibacillus	2767842	G	142182	77021	219203	0.01318
Weissella	46255	G	136858	23268	160126	0.00963
Paucilactobacillus	2767890	G	108746	69995	178741	0.01075
Leuconostoc	1243	G	103193	21865	125058	0.00752
Loigolactobacillus	2767889	G	84847	113572	198419	0.01193
Lacticaseibacillus	2759736	G	59341	23146	82487	0.00496
Liquorilactobacillus	2767888	G	56577	32731	89308	0.00537
Latilactobacillus	2767885	G	53474	19281	72755	0.00438
Secundilactobacillus	2767892	G	51153	42673	93826	0.00564
Furfurilactobacillus	2767882	G	39965	15278	55243	0.00332
Bombilactobacillus	2767878	G	39855	1155	41010	0.00247
Dellaglioa	2767880	G	38459	14576	53035	0.00319
Periweissella	2930384	G	36593	777	37370	0.00225
Oenococcus	46254	G	31097	3805	34902	0.00210
Holzapfeliella	2767883	G	23739	1114	24853	0.00149
Agrilactobacillus	2767875	G	19863	2019	21882	0.00132
Xylocopilactobacillus	3118928	G	15187	63	15250	0.00092
Schleiferilactobacillus	2767891	G	9454	582	10036	0.00060
Lapidilactobacillus	2767884	G	9014	852	9866	0.00059
Amylolactobacillus	2767876	G	1038	1030	2068	0.00012
Enterococcus	1350	G	187292	147289	334581	0.02012
Vagococcus	2737	G	53733	15344	69077	0.00415
Tetragenococcus	51668	G	18244	20582	38826	0.00233
Melissococcus	33969	G	7343	351	7694	0.00046
Streptococcus	1301	G	160006	24388	184394	0.01109
Lactococcus	1357	G	30054	45716	75770	0.00456
Pseudolactococcus	3436058	G	12505	943	13448	0.00081
Floricoccus	1930830	G	2666	152	2818	0.00017
Carnobacterium	2747	G	52333	14896	67229	0.00404
Jeotgalibaca	1470540	G	14943	5698	20641	0.00124
Dolosigranulum	29393	G	14411	721	15132	0.00091
Granulicatella	117563	G	8908	13399	22307	0.00134
Desemzia	82800	G	4706	5473	10179	0.00061
Marinilactibacillus	191769	G	3408	1693	5101	0.00031
Alkalibacterium	99906	G	2823	254	3077	0.00019
Trichococcus	82802	G	1608	271	1879	0.00011
Alloiococcus	1651	G	90	7	97	0.00001
Aerococcus	1375	G	11118	3219	14337	0.00086
Ignavigranum	89092	G	5055	551	5606	0.00034
Tuanshanicoccus	3465067	G	3979	555	4534	0.00027
Globicatella	13075	G	3738	1023	4761	0.00029
Fundicoccus	2761542	G	2610	420	3030	0.00018
Ruoffia	2862144	G	2000	1290	3290	0.00020
Abiotrophia	46123	G	1500	401	1901	0.00011
Suicoccus	2689587	G	1151	436	1587	0.00010
Bacillus	1386	G	84999	36147	121146	0.00729
Lysinibacillus	400634	G	37622	6356	43978	0.00264
Neobacillus	2675232	G	28989	5299	34288	0.00206
Virgibacillus	84406	G	18740	1256	19996	0.00120
Priestia	2800373	G	16179	22221	38400	0.00231
Niallia	2837506	G	14701	2974	17675	0.00106
Peribacillus	2675229	G	14387	2673	17060	0.00103
Oceanobacillus	182709	G	13887	2055	15942	0.00096
Cytobacillus	2675230	G	13718	3320	17038	0.00102
Psychrobacillus	1221880	G	13556	1946	15502	0.00093
Metabacillus	2675233	G	9798	1805	11603	0.00070
Halobacillus	45667	G	7969	727	8696	0.00052
Heyndrickxia	2837504	G	7623	3041	10664	0.00064
Sutcliffiella	2837511	G	5776	1040	6816	0.00041
Amphibacillus	29331	G	5631	802	6433	0.00039
Cerasibacillus	227864	G	5237	1017	6254	0.00038
Pontibacillus	289201	G	5157	271	5428	0.00033
Alkalihalobacillus	2675234	G	4625	624	5249	0.00032
Rossellomorea	2837508	G	3834	743	4577	0.00028
Mesobacillus	2675231	G	3628	789	4417	0.00027
Shouchella	2893057	G	3328	365	3693	0.00022
Gracilibacillus	74385	G	3029	252	3281	0.00020
Lentibacillus	175304	G	2961	197	3158	0.00019
Aciduricibacillus	3158337	G	2876	391	3267	0.00020
Anaerobacillus	704093	G	2808	404	3212	0.00019
Paraliobacillus	200903	G	2640	205	2845	0.00017
Salipaludibacillus	1884449	G	2580	159	2739	0.00016
Halalkalibacterium (ex Joshi et al. 2022)	2893055	G	2571	461	3032	0.00018
Radiobacillus	2785518	G	2273	318	2591	0.00016
Alkalibacillus	331654	G	2231	53	2284	0.00014
Schinkia	2837509	G	1856	304	2160	0.00013
Ectobacillus	2837502	G	1820	249	2069	0.00012
Gottfriedia	2837503	G	1748	186	1934	0.00012
Fervidibacillus	3033930	G	1731	265	1996	0.00012
Lederbergia	2804231	G	1594	115	1709	0.00010
Ornithinibacillus	484508	G	1570	515	2085	0.00013
Halalkalibacter	2893056	G	1353	427	1780	0.00011
Salicibibacter	2685905	G	1351	11	1362	0.00008
Evansella	2837485	G	1230	113	1343	0.00008
Robertmurraya	2837507	G	1172	180	1352	0.00008
Terribacillus	459532	G	1118	95	1213	0.00007
Tepidibacillus	1494427	G	1116	117	1233	0.00007
Aeribacillus	1055323	G	1109	1420	2529	0.00015
Alkalihalophilus	2893060	G	1045	191	1236	0.00007
Siminovitchia	2837510	G	1022	101	1123	0.00007
Salimicrobium	351195	G	733	56	789	0.00005
Mangrovibacillus	2920444	G	640	139	779	0.00005
Domibacillus	1433999	G	635	127	762	0.00005
Paraperibacillus	3450404	G	599	95	694	0.00004
Pradoshia	2651279	G	584	80	664	0.00004
Salisediminibacterium	1434042	G	545	36	581	0.00003
Falsibacillus	1270155	G	442	66	508	0.00003
Alkalicoccus	2005375	G	441	24	465	0.00003
Caldifermentibacillus	3034001	G	440	5364	5804	0.00035
Paenalkalicoccus	2944627	G	402	366	768	0.00005
Pseudobacillus	108525	G	360	173	533	0.00003
Allobacillus	1400133	G	331	27	358	0.00002
Caldalkalibacillus	379065	G	192	89	281	0.00002
Sediminibacillus	482460	G	94	10	104	0.00001
Staphylococcus	1279	G	158233	107576	265809	0.01599
Mammaliicoccus	2803850	G	10199	2395	12594	0.00076
Macrococcus	69965	G	10134	2862	12996	0.00078
Macrococcoides	3076173	G	3720	2538	6258	0.00038
Jeotgalicoccus	227979	G	1675	241	1916	0.00012
Nosocomiicoccus	489909	G	1430	215	1645	0.00010
Salinicoccus	45669	G	1288	97	1385	0.00008
Paenibacillus	44249	G	61877	3155	65032	0.00391
Brevibacillus	55080	G	6135	357	6492	0.00039
Aneurinibacillus	55079	G	1561	84	1645	0.00010
Cohnella	329857	G	1183	112	1295	0.00008
Pristimantibacillus (SeqCode)	2994560	G	223	35	258	0.00002
Thermobacillus	76632	G	214	17	231	0.00001
Saccharibacillus	456492	G	50	2	52	0.00000
Sporosarcina	1569	G	15754	1712	17466	0.00105
Planococcus	1372	G	9011	1057	10068	0.00061
Rummeliibacillus	648802	G	8305	863	9168	0.00055
Paenisporosarcina	651660	G	5976	872	6848	0.00041
Ureibacillus	160795	G	5571	6282	11853	0.00071
Solibacillus	648800	G	4414	762	5176	0.00031
Viridibacillus	496496	G	2205	376	2581	0.00016
Kurthia	1649	G	1810	360	2170	0.00013
Metasolibacillus	2703677	G	1513	18	1531	0.00009
Chryseomicrobium	889388	G	1310	313	1623	0.00010
Jeotgalibacillus	157226	G	407	78	485	0.00003
Listeria	1637	G	27005	8900	35905	0.00216
Brochothrix	2755	G	4794	838	5632	0.00034
Paenilisteria	3373705	G	1449	64	1513	0.00009
Anoxybacillus	150247	G	4246	1068	5314	0.00032
Geobacillus	129337	G	1766	609	2375	0.00014
Parageobacillus	1906945	G	711	484	1195	0.00007
Thermaerobacillus	3390020	G	559	117	676	0.00004
Anoxybacteroides	3389905	G	420	43	463	0.00003
Saccharococcus	29395	G	223	95	318	0.00002
Exiguobacterium	33986	G	7544	827	8371	0.00050
Gemella	1378	G	7034	1220	8254	0.00050
Fictibacillus	1329200	G	3614	664	4278	0.00026
Pseudalkalibacillus	2893058	G	1929	265	2194	0.00013
Alicyclobacillus	29330	G	2160	83	2243	0.00013
Tumebacillus	432330	G	840	82	922	0.00006
Kyrpidia	1129704	G	223	4	227	0.00001
Effusibacillus	1502725	G	212	23	235	0.00001
Fodinisporobacter	3156481	G	160	5	165	0.00001
Sporolactobacillus	2077	G	2274	70	2344	0.00014
Pullulanibacillus	475230	G	958	63	1021	0.00006
Guptibacillus	3421338	G	2164	641	2805	0.00017
Kroppenstedtia	1274351	G	663	19	682	0.00004
Novibacillus	1677050	G	329	31	360	0.00002
Thermoactinomyces	2023	G	257	16	273	0.00002
Staphylospora	2689589	G	134	7	141	0.00001
Polycladomyces	1348505	G	105	3	108	0.00001
Laceyella	292635	G	69	3	72	0.00000
Abyssicoccus	1955413	G	272	155	427	0.00003
Clostridium	1485	G	77164	12740	89904	0.00541
Caloramator	44258	G	2365	380	2745	0.00017
Crassaminicella	1848399	G	2293	79	2372	0.00014
Wukongibacter	1884926	G	1091	15	1106	0.00007
Haloimpatiens	1755832	G	794	128	922	0.00006
Sarcina	1266	G	735	80	815	0.00005
Candidatus Neoarthromitus	49082	G	424	7	431	0.00003
Oceanirhabdus	1434026	G	340	6	346	0.00002
Hathewaya	1769729	G	241	17	258	0.00002
Proteiniclasticum	1155385	G	162	15	177	0.00001
Lactonifactor	420345	G	41	16	57	0.00000
Ruminococcus	1263	G	1610	236	1846	0.00011
Caproicibacterium	2834348	G	1160	170	1330	0.00008
Fastidiosipila	236752	G	1014	852	1866	0.00011
Amygdalobacter	3079925	G	572	162	734	0.00004
Paludihabitans	2038676	G	531	5	536	0.00003
Faecalibacterium	216851	G	511	374	885	0.00005
Ruminiclostridium	1508657	G	493	70	563	0.00003
Acidaminobacterium	3570270	G	317	0	317	0.00002
Thermoclostridium	2304691	G	195	57	252	0.00002
Petroclostridium	2304687	G	189	5	194	0.00001
Pusillibacter	2892397	G	155	116	271	0.00002
Owariibacterium	3393728	G	149	172	321	0.00002
Bengtsoniella	3389389	G	143	4	147	0.00001
Lawsonibacter	2172004	G	100	68	168	0.00001
Vescimonas	2892396	G	77	133	210	0.00001
Mageeibacillus	1637257	G	63	22	85	0.00001
Oscillibacter	459786	G	62	79	141	0.00001
Anaerotruncus	244127	G	38	71	109	0.00001
Solibaculum	2842531	G	25	30	55	0.00000
Flavonifractor	946234	G	24	18	42	0.00000
Ruthenibacterium	1905344	G	23	8	31	0.00000
Thermocaproicibacter	3048127	G	22	5	27	0.00000
Subdoligranulum	292632	G	18	7	25	0.00000
Desulfitobacterium	36853	G	1501	66	1567	0.00009
Desulfosporosinus	79206	G	1312	25	1337	0.00008
Dehalobacter	56112	G	849	120	969	0.00006
Syntrophobotulus	51196	G	180	1	181	0.00001
Desulfofarcimen	2282742	G	1602	14	1616	0.00010
Desulforamulus	2916693	G	1087	38	1125	0.00007
Acididesulfobacillus	2924872	G	278	1	279	0.00002
Thermanaerosceptrum	2651578	G	234	9	243	0.00001
Candidatus Formimonas	2840454	G	227	1	228	0.00001
Dehalobacterium	51514	G	104	11	115	0.00001
Phosphitispora	2903061	G	24	1	25	0.00000
Desulfofundulus	2282741	G	20	0	20	0.00000
Eubacterium	1730	G	1278	615	1893	0.00011
Acetobacterium	33951	G	1186	75	1261	0.00008
Anaerofustis	264995	G	702	220	922	0.00006
Alkalibacter	274470	G	192	1	193	0.00001
Pseudoramibacter	113286	G	66	2	68	0.00000
Syntrophomonas	862	G	988	59	1047	0.00006
Candidatus Syntrophocurvum	2293313	G	358	6	364	0.00002
Syntrophothermus	129001	G	143	3	146	0.00001
Fenollaria	1686313	G	377	120	497	0.00003
Carboxydocella	178898	G	291	3	294	0.00002
Sulfobacillus	28033	G	123	0	123	0.00001
Thermaerobacter	73918	G	85	0	85	0.00001
Proteiniborus	415014	G	140	11	151	0.00001
Levyella	1715798	G	91	23	114	0.00001
Intestinimonas	1392389	G	37	6	43	0.00000
Flintibacter	1918454	G	10	0	10	0.00000
Tianxiuia	3680000	G	589	4	593	0.00004
Helicovermis	3136917	G	328	3	331	0.00002
Fusibacter	76008	G	176	4	180	0.00001
Acutalibacter	1918385	G	332	13	345	0.00002
Caproiciproducens	1738645	G	290	281	571	0.00003
Caproicibacter	2576755	G	39	2	41	0.00000
Proteinivorax	1491776	G	312	1	313	0.00002
Alkalicella	2838170	G	168	3	171	0.00001
Aristaeella	3046369	G	467	0	467	0.00003
Heliorestis	79598	G	147	0	147	0.00001
Heliomicrobium	2831443	G	119	16	135	0.00001
Caldinitratiruptor	1006480	G	164	0	164	0.00001
Symbiobacterium	2733	G	16	0	16	0.00000
Desulfotomaculum	1562	G	151	32	183	0.00001
Desulfoscipio	2867376	G	134	0	134	0.00001
Thermincola	278993	G	116	3	119	0.00001
Agathobaculum	2048137	G	63	32	95	0.00001
Butyricicoccus	580596	G	21	6	27	0.00000
Terrisporobacter	1505652	G	7456	242	7698	0.00046
Paraclostridium	1849822	G	2742	201	2943	0.00018
Tepidibacter	214904	G	2704	95	2799	0.00017
Faecalimicrobium	3120164	G	2115	363	2478	0.00015
Romboutsia	1501226	G	2102	426	2528	0.00015
Peptostreptococcus	1257	G	1654	1399	3053	0.00018
Clostridioides	1870884	G	1435	4959	6394	0.00038
Intestinibacter	1505657	G	1275	422	1697	0.00010
Peptacetobacter	2743582	G	1163	81	1244	0.00007
Andreesenella	3685825	G	3865	58	3923	0.00024
Alkaliphilus	114627	G	2203	67	2270	0.00014
Serpentinicella	1890059	G	197	1	198	0.00001
Anoxybacterium	3408579	G	2993	42	3035	0.00018
Sinanaerobacter	2886866	G	411	15	426	0.00003
Aminipila	2060094	G	325	10	335	0.00002
Emergencia	1926556	G	241	27	268	0.00002
Ihubacter	1926667	G	210	28	238	0.00001
Mogibacterium	86331	G	60	23	83	0.00000
Caminicella	166484	G	1239	65	1304	0.00008
Filifactor	44259	G	390	454	844	0.00005
Acetoanaerobium	186831	G	142	1	143	0.00001
Geosporobacter	390805	G	194	12	206	0.00001
Peptoclostridium	1481960	G	12	0	12	0.00000
Anaerocolumna	1843210	G	2510	13	2523	0.00015
Blautia	572511	G	2333	1244	3577	0.00022
Anaerostipes	207244	G	2106	721	2827	0.00017
Roseburia	841	G	1701	866	2567	0.00015
Butyrivibrio	830	G	1530	68	1598	0.00010
Lacrimispora	2719231	G	1439	52	1491	0.00009
Lachnoclostridium	1506553	G	1267	114	1381	0.00008
Dorea	189330	G	1167	1065	2232	0.00013
Stomatobaculum	1213720	G	989	17	1006	0.00006
Anaeromicropila	3024823	G	904	8	912	0.00005
Mediterraneibacter	2316020	G	724	447	1171	0.00007
Agathobacter	1766253	G	696	521	1217	0.00007
Wujia	2944152	G	592	429	1021	0.00006
Jutongia	2944194	G	575	160	735	0.00004
Enterocloster	2719313	G	562	159	721	0.00004
Chordicoccus	3031933	G	524	44	568	0.00003
Coprococcus	33042	G	509	307	816	0.00005
Herbinix	1663717	G	501	214	715	0.00004
Pseudobutyrivibrio	46205	G	436	26	462	0.00003
Tyzzerella	1506577	G	356	15	371	0.00002
Allocoprococcus	3569723	G	348	313	661	0.00004
Chakrabartyella	3088373	G	330	17	347	0.00002
Hungatella	1649459	G	324	79	403	0.00002
Lachnoanaerobaculum	1164882	G	320	50	370	0.00002
Anaerobutyricum	2569097	G	275	55	330	0.00002
Candidatus Epulonipiscium	2383	G	253	4	257	0.00002
Eshraghiella	3342669	G	247	91	338	0.00002
Claveliimonas	3076670	G	231	98	329	0.00002
Anaeropeptidivorans	2997360	G	218	1	219	0.00001
Novisyntrophococcus	2888809	G	199	22	221	0.00001
Wansuia	2944198	G	188	34	222	0.00001
Sellimonas	1769710	G	183	94	277	0.00002
Kineothrix	2163168	G	182	4	186	0.00001
Hominifimenecus	3073585	G	178	0	178	0.00001
Faecalimonas	2005355	G	154	126	280	0.00002
Otoolea	2941495	G	111	20	131	0.00001
Eisenbergiella	1432051	G	107	41	148	0.00001
Qiania	2944195	G	104	28	132	0.00001
Simiaoa	2944193	G	104	52	156	0.00001
Marvinbryantia	248744	G	86	32	118	0.00001
Lachnospira	28050	G	81	13	94	0.00001
Vallitalea	1348611	G	1453	13	1466	0.00009
Petrocella	2603323	G	814	47	861	0.00005
Anaerotignum	2039240	G	948	142	1090	0.00007
Cellulosilyticum	698776	G	929	37	966	0.00006
Defluviitalea	1185408	G	48	19	67	0.00000
Halanaerobium	2330	G	3776	33	3809	0.00023
Iocasia	2899804	G	106	60	166	0.00001
Halocella	46466	G	51	28	79	0.00000
Halobacteroides	42417	G	1306	1	1307	0.00008
Natroniella	52003	G	1298	2	1300	0.00008
Acetohalobium	28186	G	254	0	254	0.00002
Anoxybacter	1769008	G	1281	4	1285	0.00008
Halothermothrix	32636	G	835	2	837	0.00005
Thermoanaerobacterium	28895	G	1640	164	1804	0.00011
Thermoanaerobacter	1754	G	716	15	731	0.00004
Carboxydothermus	129957	G	70	0	70	0.00000
Desulfothermobacter	2079011	G	65	0	65	0.00000
Aceticella	3051499	G	46	1	47	0.00000
Thermacetogenium	140458	G	38	9	47	0.00000
Caldanaerobacter	249529	G	38	7	45	0.00000
Gelria	189326	G	12	0	12	0.00000
Candidatus Desulforudis	471826	G	53	0	53	0.00000
Neomoorella	44260	G	628	1	629	0.00004
Thermanaeromonas	202949	G	235	0	235	0.00001
Metallumcola	3234175	G	768	3	771	0.00005
Zhaonella	2748674	G	160	3	163	0.00001
Tepidanaerobacter	499228	G	1182	19	1201	0.00007
Biomaibacter	2770094	G	468	0	468	0.00003
Thermosediminibacter	291988	G	24	0	24	0.00000
Acetivibrio	35829	G	894	405	1299	0.00008
Natranaerofaba	2807497	G	421	0	421	0.00003
Natranaerobius	375928	G	107	0	107	0.00001
Koleobacter	2786989	G	294	3	297	0.00002
Christensenella	990721	G	170	62	232	0.00001
Monoglobus	2039302	G	135	67	202	0.00001
Mahella	252965	G	34	5	39	0.00000
Erysipelothrix	1647	G	7745	268	8013	0.00048
Allocoprobacillus	3059504	G	1387	240	1627	0.00010
Hoskinsella	3681505	G	676	1054	1730	0.00010
Intestinibaculum	2679910	G	638	51	689	0.00004
Bulleidia	118747	G	553	133	686	0.00004
Solobacterium	123375	G	364	742	1106	0.00007
Amedibacterium	2749267	G	280	357	637	0.00004
Longicatena	1918536	G	227	427	654	0.00004
Allobaculum	174708	G	190	0	190	0.00001
Holdemania	61170	G	117	112	229	0.00001
Faecalibaculum	1729679	G	77	0	77	0.00000
Massilimicrobiota	1924110	G	22	786	808	0.00005
Turicibacter	191303	G	9423	768	10191	0.00061
Faecalibacillus	2678885	G	3675	2918	6593	0.00040
Catenibacterium	135858	G	2614	925	3539	0.00021
Thomasclavelia	3025755	G	2136	420	2556	0.00015
Tannockella	2943184	G	664	31	695	0.00004
Megasphaera	906	G	6671	177	6848	0.00041
Veillonella	29465	G	3869	164	4033	0.00024
Dialister	39948	G	764	40	804	0.00005
Sporomusa	2375	G	2875	323	3198	0.00019
Anaerosinus	151037	G	972	50	1022	0.00006
Pelosinus	365348	G	738	27	765	0.00005
Methylomusa	2093783	G	120	3	123	0.00001
Megamonas	158846	G	2095	63	2158	0.00013
Pectinatus	864	G	977	38	1015	0.00006
Selenomonas	970	G	878	12	890	0.00005
Mitsuokella	52225	G	182	30	212	0.00001
Phascolarctobacterium	33024	G	486	52	538	0.00003
Acidaminococcus	904	G	297	25	322	0.00002
Parvimonas	543311	G	2944	1605	4549	0.00027
Anaerococcus	165779	G	2544	533	3077	0.00019
Peptoniphilus	162289	G	1590	1657	3247	0.00020
Helcococcus	31983	G	1358	479	1837	0.00011
Miniphocaeibacter	2126548	G	1115	11	1126	0.00007
Microaceticoccus	3421489	G	612	7	619	0.00004
Finegoldia	150022	G	515	443	958	0.00006
Murdochiella	1161127	G	40	68	108	0.00001
Aedoeadaptatus	2981628	G	32	2	34	0.00000
Keratinibaculum	1354809	G	2273	397	2670	0.00016
Schnuerera	2794837	G	251	19	270	0.00002
Tissierella	41273	G	1863	24	1887	0.00011
Gudongella	2692382	G	48	4	52	0.00000
Gottschalkia	1505664	G	1714	33	1747	0.00011
Caloranaerobacter	171003	G	489	25	514	0.00003
Acidilutibacter	2992720	G	435	158	593	0.00004
Sporanaerobacter	165812	G	150	19	169	0.00001
Sedimentibacter	190972	G	2658	49	2707	0.00016
Ezakiella	1582879	G	306	734	1040	0.00006
Caldicellulosiruptor	44000	G	9812	134	9946	0.00060
