name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acetilactobacillus jinshanensis	1720083	S	2436484	295	2436779	0.14592
Apilactobacillus apisilvae	2923364	S	282780	25918	308698	0.01849
Apilactobacillus kunkeei	148814	S	201700	55004	256704	0.01537
Apilactobacillus bombintestini	2419772	S	186006	22527	208533	0.01249
Apilactobacillus apinorum	1218495	S	105010	32018	137028	0.00821
Nicoliella spurrieriana	2925830	S	732225	21334	753559	0.04512
Lactobacillus sp. 3B(2020)	2695882	S	18667	7101	25768	0.00154
Lactobacillus sp. PV034	2594495	S	17574	1682	19256	0.00115
Lactobacillus sp. CBA3605	2099788	S	14976	9688	24664	0.00148
Lactobacillus sp. ESL0785	2983232	S	13655	970	14625	0.00088
Lactobacillus sp. CBA3606	2099789	S	12509	15833	28342	0.00170
Lactobacillus sp. ESL0680	2983210	S	10135	1077	11212	0.00067
Lactobacillus sp. IBH004	2879107	S	4518	447	4965	0.00030
Lactobacillus sp. ESL0684	2983213	S	3213	10123	13336	0.00080
Lactobacillus sp. ESL0677	2983208	S	2738	432	3170	0.00019
Lactobacillus sp. ESL0681	2983211	S	2726	7829	10555	0.00063
Lactobacillus sp. PV037	2594496	S	1594	11443	13037	0.00078
Lactobacillus sp. PV012	2594494	S	681	7041	7722	0.00046
Lactobacillus sp. wkB8	1545702	S	657	934	1591	0.00010
Lactobacillus kefiranofaciens	267818	S	38827	21569	60396	0.00362
Lactobacillus johnsonii	33959	S	20528	7869	28397	0.00170
Lactobacillus terrae	2269374	S	19810	830	20640	0.00124
Lactobacillus iners	147802	S	19657	5148	24805	0.00149
Lactobacillus helveticus	1587	S	18184	16256	34440	0.00206
Lactobacillus apis	303541	S	15424	658	16082	0.00096
Lactobacillus jensenii	109790	S	15406	3022	18428	0.00110
Lactobacillus amylolyticus	83683	S	12964	2361	15325	0.00092
Lactobacillus amylovorus	1604	S	11837	6065	17902	0.00107
Lactobacillus acidophilus	1579	S	11570	1133	12703	0.00076
Lactobacillus crispatus	47770	S	11089	8309	19398	0.00116
Lactobacillus gasseri	1596	S	10930	31435	42365	0.00254
Lactobacillus acetotolerans	1600	S	10578	2274	12852	0.00077
