name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillaceae	33958	F	8756189	360599	9116788	0.54826
Enterococcaceae	81852	F	279526	170651	450177	0.02707
Streptococcaceae	1300	F	207411	69018	276429	0.01662
Carnobacteriaceae	186828	F	105556	40087	145643	0.00876
Aerococcaceae	186827	F	32546	6503	39049	0.00235
Bacillaceae	186817	F	415456	64050	479506	0.02884
Staphylococcaceae	90964	F	198509	104097	302606	0.01820
Paenibacillaceae	186822	F	72095	2913	75008	0.00451
Caryophanaceae	186818	F	56961	12015	68976	0.00415
Listeriaceae	186820	F	33304	9747	43051	0.00259
Anoxybacillaceae	3120669	F	8835	9881	18716	0.00113
Gemellaceae	539738	F	7034	1220	8254	0.00050
Fictibacillaceae	3120697	F	5544	929	6473	0.00039
Alicyclobacillaceae	186823	F	3702	92	3794	0.00023
Sporolactobacillaceae	186821	F	3232	134	3366	0.00020
Guptibacillaceae	3421337	F	2164	641	2805	0.00017
Thermoactinomycetaceae	186824	F	1569	69	1638	0.00010
Abyssicoccaceae	3076164	F	272	155	427	0.00003
Clostridiaceae	31979	F	86756	12379	99135	0.00596
Oscillospiraceae	216572	F	8047	2159	10206	0.00061
Desulfitobacteriaceae	2937909	F	3887	168	4055	0.00024
Peptococcaceae	186807	F	3577	78	3655	0.00022
Eubacteriaceae	186806	F	3429	910	4339	0.00026
Syntrophomonadaceae	68298	F	1502	553	2055	0.00012
Clostridiales Family XVI. Incertae Sedis	543347	F	291	3	294	0.00002
Clostridiales Family XVII. Incertae Sedis	539000	F	208	320	528	0.00003
Fusibacteraceae	3679999	F	1093	11	1104	0.00007
Acutalibacteraceae	3082771	F	903	54	957	0.00006
Proteinivoracaceae	1491775	F	480	4	484	0.00003
Aristaeellaceae	3046368	F	467	0	467	0.00003
Heliobacteriaceae	31984	F	266	17	283	0.00002
Symbiobacteriaceae	543349	F	180	0	180	0.00001
Desulfotomaculaceae	2937910	F	151	32	183	0.00001
Desulfallaceae	2867375	F	134	0	134	0.00001
Thermincolaceae	2937911	F	116	3	119	0.00001
Butyricicoccaceae	3085642	F	112	20	132	0.00001
Peptostreptococcaceae	186804	F	23861	6977	30838	0.00185
Natronincolaceae	3118656	F	6265	127	6392	0.00038
Anaerovoracaceae	543314	F	4281	107	4388	0.00026
Caminicellaceae	3118654	F	1239	65	1304	0.00008
Filifactoraceae	3118655	F	532	456	988	0.00006
Thermotaleaceae	3118657	F	194	12	206	0.00001
Peptoclostridiaceae	3120161	F	12	0	12	0.00000
Lachnospiraceae	186803	F	26877	6448	33325	0.00200
Vallitaleaceae	2603322	F	2267	61	2328	0.00014
Anaerotignaceae	3118652	F	948	142	1090	0.00007
Cellulosilyticaceae	3018741	F	929	37	966	0.00006
Defluviitaleaceae	1185407	F	48	19	67	0.00000
Halanaerobiaceae	972	F	4021	34	4055	0.00024
Halobacteroidaceae	53434	F	2858	1289	4147	0.00025
Halothermotrichaceae	3046412	F	835	2	837	0.00005
Thermoanaerobacteraceae	186814	F	2651	181	2832	0.00017
Candidatus Desulforudaceae	3399799	F	53	0	53	0.00000
Neomoorellaceae	3039168	F	863	2	865	0.00005
Desulfitibacteraceae	3039170	F	768	3	771	0.00005
Zhaonellaceae	2748673	F	160	3	163	0.00001
Tepidanaerobacteraceae	2770092	F	1650	20	1670	0.00010
Thermosediminibacteraceae	2770093	F	24	0	24	0.00000
Acetivibrionaceae	3120654	F	894	404	1298	0.00008
Natranaerofabaceae	2807496	F	421	0	421	0.00003
