user_genome	is_ani_classification	class_tree_mapped	classification_rule
6PEH_6_R.bin.11	False	6	Rule 2
6PEH_6_R.bin.13	False	6	Rule 2
6PEH_6_R.bin.14	False	6	Rule 2
6PEH_6_R.bin.15	False	6	Rule 2
6PEH_6_R.bin.16	False	6	Rule 2
6PEH_6_R.bin.17	False	6	Rule 2
6PEH_6_R.bin.18	False	6	Rule 2
6PEH_6_R.bin.19	False	3	Rule 2
6PEH_6_R.bin.2	False	6	Rule 2
6PEH_6_R.bin.20	False	6	Rule 2
6PEH_6_R.bin.21	False	3	Rule 2
6PEH_6_R.bin.4	False	6	Rule 2
6PEH_6_R.bin.5	False	6	Rule 2
6PEH_6_R.bin.6	False	6	Rule 2
6PEH_6_R.bin.9	False	1	Rule 2
