user_genome	is_ani_classification	class_tree_mapped	classification_rule
SVH11_Q11_R.bin.1	False	6	Rule 2
SVH11_Q11_R.bin.11	False	3	Rule 2
SVH11_Q11_R.bin.12	False	3	Rule 2
SVH11_Q11_R.bin.13	False	6	Rule 2
SVH11_Q11_R.bin.14	False	6	Rule 2
SVH11_Q11_R.bin.17	False	6	Rule 2
SVH11_Q11_R.bin.21	False	6	Rule 2
SVH11_Q11_R.bin.23	False	6	Rule 2
SVH11_Q11_R.bin.26	False	6	Rule 2
SVH11_Q11_R.bin.28	False	6	Rule 2
SVH11_Q11_R.bin.29	False	6	Rule 2
SVH11_Q11_R.bin.3	False	6	Rule 2
SVH11_Q11_R.bin.31	False	6	Rule 2
SVH11_Q11_R.bin.33	False	6	Rule 2
SVH11_Q11_R.bin.36	False	6	Rule 2
SVH11_Q11_R.bin.38	False	6	Rule 2
SVH11_Q11_R.bin.40	False	1	Rule 2
SVH11_Q11_R.bin.41	False	6	Rule 2
SVH11_Q11_R.bin.44	False	6	Rule 2
SVH11_Q11_R.bin.45	False	6	Rule 2
SVH11_Q11_R.bin.47	False	3	Rule 2
SVH11_Q11_R.bin.56	False	6	Rule 2
SVH11_Q11_R.bin.60	False	6	Rule 2
SVH11_Q11_R.bin.61	False	3	Rule 2
SVH11_Q11_R.bin.63	False	6	Rule 2
SVH11_Q11_R.bin.64	False	6	Rule 2
SVH11_Q11_R.bin.65	False	6	Rule 2
SVH11_Q11_R.bin.66	False	6	Rule 2
SVH11_Q11_R.bin.69	False	6	Rule 2
SVH11_Q11_R.bin.9	False	6	Rule 2
