name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Apilactobacillus	2767877	G	2374720	81512	2456232	0.07264
Lactobacillus	1578	G	1453722	194921	1648643	0.04876
Fructilactobacillus	2767881	G	1135897	136714	1272611	0.03764
Lentilactobacillus	2767893	G	922032	224558	1146590	0.03391
Companilactobacillus	2767879	G	706982	123021	830003	0.02455
Ligilactobacillus	2767887	G	691721	155807	847528	0.02507
Pediococcus	1253	G	610786	384631	995417	0.02944
Limosilactobacillus	2742598	G	458067	158529	616596	0.01824
Acetilactobacillus	2767874	G	403416	48	403464	0.01193
Paucilactobacillus	2767890	G	350030	235448	585478	0.01732
Nicoliella	2978367	G	334020	9973	343993	0.01017
Weissella	46255	G	313550	54282	367832	0.01088
Leuconostoc	1243	G	265120	51248	316368	0.00936
Lactiplantibacillus	2767842	G	192975	130028	323003	0.00955
Loigolactobacillus	2767889	G	183050	254083	437133	0.01293
Levilactobacillus	2767886	G	171459	89084	260543	0.00771
Liquorilactobacillus	2767888	G	155128	88969	244097	0.00722
Bombilactobacillus	2767878	G	130379	4039	134418	0.00398
Dellaglioa	2767880	G	127890	52628	180518	0.00534
Fructobacillus	559173	G	123930	3590	127520	0.00377
Secundilactobacillus	2767892	G	95972	76989	172961	0.00512
Oenococcus	46254	G	95616	11876	107492	0.00318
Lacticaseibacillus	2759736	G	93994	35638	129632	0.00383
Latilactobacillus	2767885	G	92760	31721	124481	0.00368
Periweissella	2930384	G	67498	1447	68945	0.00204
Furfurilactobacillus	2767882	G	67255	26010	93265	0.00276
Holzapfeliella	2767883	G	63455	2975	66430	0.00196
Agrilactobacillus	2767875	G	59835	6005	65840	0.00195
Xylocopilactobacillus	3118928	G	46728	237	46965	0.00139
Lapidilactobacillus	2767884	G	24304	2365	26669	0.00079
Schleiferilactobacillus	2767891	G	11972	740	12712	0.00038
Amylolactobacillus	2767876	G	2000	2108	4108	0.00012
Enterococcus	1350	G	511099	433787	944886	0.02794
Vagococcus	2737	G	191351	60054	251405	0.00744
Tetragenococcus	51668	G	52054	81868	133922	0.00396
Melissococcus	33969	G	16090	825	16915	0.00050
Streptococcus	1301	G	357038	52285	409323	0.01211
Lactococcus	1357	G	69637	232969	302606	0.00895
Pseudolactococcus	3436058	G	25674	2894	28568	0.00084
Floricoccus	1930830	G	10119	620	10739	0.00032
Carnobacterium	2747	G	165487	49698	215185	0.00636
Dolosigranulum	29393	G	33520	2014	35534	0.00105
Granulicatella	117563	G	27429	44344	71773	0.00212
Jeotgalibaca	1470540	G	26491	10707	37198	0.00110
Desemzia	82800	G	16280	21269	37549	0.00111
Alkalibacterium	99906	G	6459	430	6889	0.00020
Marinilactibacillus	191769	G	6162	3512	9674	0.00029
Trichococcus	82802	G	788	69	857	0.00003
Alloiococcus	1651	G	87	8	95	0.00000
Ignavigranum	89092	G	17340	1975	19315	0.00057
Aerococcus	1375	G	14231	4987	19218	0.00057
Globicatella	13075	G	12916	3784	16700	0.00049
Tuanshanicoccus	3465067	G	11277	1411	12688	0.00038
Fundicoccus	2761542	G	6936	1087	8023	0.00024
Ruoffia	2862144	G	5516	3234	8750	0.00026
Abiotrophia	46123	G	4824	1467	6291	0.00019
Suicoccus	2689587	G	786	295	1081	0.00003
Bacillus	1386	G	219378	97363	316741	0.00937
Lysinibacillus	400634	G	99760	20052	119812	0.00354
Neobacillus	2675232	G	80612	20598	101210	0.00299
Virgibacillus	84406	G	52460	4408	56868	0.00168
Psychrobacillus	1221880	G	48355	9823	58178	0.00172
Peribacillus	2675229	G	44721	13585	58306	0.00172
Metabacillus	2675233	G	38403	13945	52348	0.00155
Oceanobacillus	182709	G	38172	7851	46023	0.00136
Cytobacillus	2675230	G	36445	10375	46820	0.00138
Priestia	2800373	G	35456	36593	72049	0.00213
Niallia	2837506	G	31422	7783	39205	0.00116
