name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillota	1239	P	20010553	764710	20775263	0.61421
Mycoplasmatota	544448	P	249921	6482	256403	0.00758
Actinomycetota	201174	P	123806	2508	126314	0.00373
Cyanobacteriota	1117	P	90789	120	90909	0.00269
Chloroflexota	200795	P	470	0	470	0.00001
Armatimonadota	67819	P	60	0	60	0.00000
Vulcanimicrobiota	1154676	P	33	0	33	0.00000
Pseudomonadota	1224	P	2220185	226481	2446666	0.07233
Bacteroidota	976	P	773035	13781	786816	0.02326
Ignavibacteriota	1134404	P	2911	10	2921	0.00009
Chlorobiota	1090	P	796	1	797	0.00002
Rhodothermota	1853220	P	60	0	60	0.00000
Balneolota	1936987	P	22	0	22	0.00000
Fidelibacterota	62680	P	1355	3	1358	0.00004
Candidatus Cloacimonadota	456828	P	986	0	986	0.00003
Gemmatimonadota	142182	P	150	0	150	0.00000
Fibrobacterota	65842	P	17	0	17	0.00000
Campylobacterota	29547	P	154694	3688	158382	0.00468
Spirochaetota	203691	P	54973	761	55734	0.00165
Chlamydiota	204428	P	11179	416	11595	0.00034
Planctomycetota	203682	P	9821	3	9824	0.00029
Verrucomicrobiota	74201	P	829	5	834	0.00002
Lentisphaerota	256845	P	19	0	19	0.00000
Kiritimatiellota	134625	P	17	10	27	0.00000
Candidatus Omnitrophota	67812	P	13	0	13	0.00000
Thermodesulfobacteriota	200940	P	14430	427	14857	0.00044
Aquificota	200783	P	6398	98	6496	0.00019
Bdellovibrionota	3018035	P	5354	47	5401	0.00016
Nitrospirota	40117	P	4241	2	4243	0.00013
Dictyoglomota	68297	P	2365	0	2365	0.00007
Deferribacterota	200930	P	1672	22	1694	0.00005
Myxococcota	2818505	P	1338	7	1345	0.00004
Acidobacteriota	57723	P	1139	0	1139	0.00003
Thermodesulfobiota	3002442	P	460	2	462	0.00001
Elusimicrobiota	74152	P	183	1	184	0.00001
Caldisericota	67814	P	172	0	172	0.00001
Atribacterota	67818	P	67	0	67	0.00000
Thermomicrobiota	3027942	P	23	0	23	0.00000
Fusobacteriota	32066	P	101713	3001	104714	0.00310
Synergistota	508458	P	20005	1	20006	0.00059
Thermotogota	200918	P	7419	149	7568	0.00022
Deinococcota	1297	P	665	2047	2712	0.00008
Candidatus Absconditibacteriota	221235	P	685	203	888	0.00003
Candidatus Saccharimonadota	95818	P	81	0	81	0.00000
Minisyncoccota	1752724	P	17	2	19	0.00000
Streptophyta	35493	P	7231184	794761	8025945	0.23728
Chlorophyta	3041	P	1487	35	1522	0.00004
Chordata	7711	P	398407	178492	576899	0.01706
Ascomycota	4890	P	69028	6436	75464	0.00223
Basidiomycota	5204	P	24762	1508	26270	0.00078
Mucoromycota	1913637	P	40170	4274	44444	0.00131
Microsporidia	6029	P	1357	27	1384	0.00004
Apicomplexa	5794	P	51907	2330	54237	0.00160
Ciliophora	5878	P	137	0	137	0.00000
Oomycota	4762	P	205	0	205	0.00001
Bacillariophyta	2836	P	98	0	98	0.00000
Cercozoa	136419	P	38	0	38	0.00000
Parabasalia	5719	P	10839	63	10902	0.00032
Fornicata	207245	P	1882	6	1888	0.00006
Evosea	2605435	P	8816	661	9477	0.00028
Euglenozoa	33682	P	514	147	661	0.00002
Methanobacteriota	28890	P	58122	946	59068	0.00175
Thermoplasmatota	2283796	P	2070	0	2070	0.00006
Nitrososphaerota	651137	P	7249	16	7265	0.00021
Thermoproteota	28889	P	6293	20	6313	0.00019
Promethearchaeota	3366641	P	2870	6	2876	0.00009
Nanobdellota	192989	P	1011	99	1110	0.00003
Uroviricota	2731618	P	9185	7	9192	0.00027
Peploviricota	2731361	P	74	0	74	0.00000
Nucleocytoviricota	2732007	P	5924	0	5924	0.00018
Negarnaviricota	2497569	P	830	0	830	0.00002
Duplornaviricota	2732405	P	84	0	84	0.00000
Pisuviricota	2732408	P	16	0	16	0.00000
Kitrinoviricota	2732406	P	15	0	15	0.00000
Cossaviricota	2732415	P	12	0	12	0.00000
Cressdnaviricota	2732416	P	10	0	10	0.00000
