name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Apilactobacillus apisilvae	2923364	S	905429	84262	989691	0.02927
Apilactobacillus bombintestini	2419772	S	544832	67231	612063	0.01810
Apilactobacillus kunkeei	148814	S	391325	109493	500818	0.01481
Apilactobacillus apinorum	1218495	S	269443	84264	353707	0.01046
Lactobacillus sp. PV034	2594495	S	57037	6107	63144	0.00187
Lactobacillus sp. 3B(2020)	2695882	S	42041	16098	58139	0.00172
Lactobacillus sp. CBA3605	2099788	S	26811	17088	43899	0.00130
Lactobacillus sp. ESL0785	2983232	S	26747	1875	28622	0.00085
Lactobacillus sp. CBA3606	2099789	S	25806	32446	58252	0.00172
Lactobacillus sp. ESL0680	2983210	S	24767	2564	27331	0.00081
Lactobacillus sp. ESL0681	2983211	S	19903	53147	73050	0.00216
Lactobacillus sp. IBH004	2879107	S	13231	1586	14817	0.00044
Lactobacillus sp. ESL0684	2983213	S	8085	23685	31770	0.00094
Lactobacillus sp. ESL0677	2983208	S	6393	960	7353	0.00022
Lactobacillus sp. PV037	2594496	S	1855	12388	14243	0.00042
Lactobacillus sp. wkB8	1545702	S	878	1556	2434	0.00007
Lactobacillus sp. PV012	2594494	S	611	5876	6487	0.00019
Lactobacillus sp. ESL0731	2983221	S	15	5367	5382	0.00016
Lactobacillus kefiranofaciens	267818	S	99538	63930	163468	0.00483
Lactobacillus johnsonii	33959	S	67850	29317	97167	0.00287
Lactobacillus iners	147802	S	67160	19334	86494	0.00256
Lactobacillus jensenii	109790	S	51438	12099	63537	0.00188
Lactobacillus apis	303541	S	41653	1923	43576	0.00129
Lactobacillus isalae	2993455	S	40217	10120	50337	0.00149
Lactobacillus terrae	2269374	S	39986	1787	41773	0.00124
Lactobacillus amylovorus	1604	S	35698	20705	56403	0.00167
Lactobacillus acidophilus	1579	S	35334	3736	39070	0.00116
Lactobacillus helsingborgensis	1218494	S	34793	29959	64752	0.00191
Lactobacillus mulieris	2508708	S	33663	7376	41039	0.00121
Lactobacillus helveticus	1587	S	31369	35179	66548	0.00197
Lactobacillus acetotolerans	1600	S	31217	6988	38205	0.00113
Lactobacillus panisapium	2012495	S	28819	1031	29850	0.00088
Lactobacillus amylolyticus	83683	S	28058	5811	33869	0.00100
Lactobacillus gasseri	1596	S	25773	90665	116438	0.00344
Lactobacillus crispatus	47770	S	23939	19560	43499	0.00129
Lactobacillus intestinalis	151781	S	19447	1474	20921	0.00062
Lactobacillus ultunensis	227945	S	16075	1761	17836	0.00053
Lactobacillus taiwanensis	508451	S	16055	5651	21706	0.00064
Lactobacillus xylocopicola	2976676	S	11526	553	12079	0.00036
Lactobacillus kullabergensis	1218493	S	7600	1052	8652	0.00026
Lactobacillus paragasseri	2107999	S	7024	46863	53887	0.00159
Lactobacillus delbrueckii	1584	S	2321	434	2755	0.00008
Fructilactobacillus sp. Tb1	3422304	S	213280	51916	265196	0.00784
Fructilactobacillus lindneri	53444	S	159639	74187	233826	0.00691
Fructilactobacillus vespulae	1249630	S	138137	16667	154804	0.00458
Fructilactobacillus sanfranciscensis	1625	S	135992	94788	230780	0.00682
Fructilactobacillus fructivorans	1614	S	120078	6670	126748	0.00375
Fructilactobacillus frigidiflavus	3242688	S	115976	37785	153761	0.00455
Fructilactobacillus cliffordii	2940299	S	27556	12203	39759	0.00118
Fructilactobacillus hinvesii	2940300	S	26329	5472	31801	0.00094
Fructilactobacillus ixorae	1750535	S	12049	4366	16415	0.00049
Fructilactobacillus myrtifloralis	2940301	S	7317	2968	10285	0.00030
Fructilactobacillus carniphilus	2940297	S	5892	3405	9297	0.00027
Lentilactobacillus laojiaonis	2883998	S	340443	36579	377022	0.01115
Lentilactobacillus terminaliae	3003483	S	131530	17471	149001	0.00441
Lentilactobacillus hilgardii	1588	S	113668	48916	162584	0.00481
Lentilactobacillus curieae	1138822	S	104664	10421	115085	0.00340
Lentilactobacillus parabuchneri	152331	S	75007	55229	130236	0.00385
Lentilactobacillus kefiri	33962	S	66749	57959	124708	0.00369
Lentilactobacillus buchneri	1581	S	37260	50785	88045	0.00260
Companilactobacillus musae	1903258	S	97590	20105	117695	0.00348
Companilactobacillus allii	1847728	S	82640	21974	104614	0.00309
Companilactobacillus zhachilii	2304606	S	66366	8252	74618	0.00221
Companilactobacillus sp. DQM5	3463359	S	56621	2079	58700	0.00174
Companilactobacillus paralimentarius	83526	S	56053	28501	84554	0.00250
Companilactobacillus crustorum	392416	S	54866	42553	97419	0.00288
Companilactobacillus alimentarius	1602	S	54497	29057	83554	0.00247
Companilactobacillus heilongjiangensis	1074467	S	39452	4509	43961	0.00130
Companilactobacillus ginsenosidimutans	1007676	S	32707	1391	34098	0.00101
Companilactobacillus futsaii	938155	S	26874	22070	48944	0.00145
Companilactobacillus pabuli	2714036	S	25446	20064	45510	0.00135
Companilactobacillus farciminis	1612	S	20391	15975	36366	0.00108
Ligilactobacillus salivarius	1624	S	214859	63141	278000	0.00822
Ligilactobacillus cholophilus	3050131	S	142873	10917	153790	0.00455
Ligilactobacillus acidipiscis	89059	S	101835	45272	147107	0.00435
Ligilactobacillus agilis	1601	S	44998	12215	57213	0.00169
Ligilactobacillus murinus	1622	S	36892	16578	53470	0.00158
Ligilactobacillus equi	137357	S	32885	5246	38131	0.00113
Ligilactobacillus aviarius	1606	S	25536	4494	30030	0.00089
Ligilactobacillus faecis	762833	S	22653	2220	24873	0.00074
Ligilactobacillus saerimneri	228229	S	20474	7254	27728	0.00082
Ligilactobacillus animalis	1605	S	12329	13601	25930	0.00077
Ligilactobacillus ruminis	1623	S	9493	1931	11424	0.00034
Pediococcus pentosaceus	1255	S	127771	57570	185341	0.00548
Pediococcus argentinicus	480391	S	105628	73647	179275	0.00530
Pediococcus claussenii	187452	S	64810	57315	122125	0.00361
Pediococcus parvulus	54062	S	52597	54472	107069	0.00317
Pediococcus ethanolidurans	319653	S	45038	48113	93151	0.00275
Pediococcus damnosus	51663	S	43716	68700	112416	0.00332
Pediococcus acidilactici	1254	S	38995	57775	96770	0.00286
Pediococcus siamensis	381829	S	19550	6266	25816	0.00076
Pediococcus inopinatus	114090	S	5761	67216	72977	0.00216
Pediococcus sp. AC40	2962679	S	33	504	537	0.00002
Limosilactobacillus reuteri	1598	S	130029	129163	259192	0.00766
Limosilactobacillus gastricus	227942	S	72296	28026	100322	0.00297
Limosilactobacillus vaginalis	1633	S	39635	48536	88171	0.00261
Limosilactobacillus frumenti	104955	S	35305	12402	47707	0.00141
Limosilactobacillus panis	47493	S	16625	26272	42897	0.00127
Limosilactobacillus portuensis	2742601	S	12796	12588	25384	0.00075
Limosilactobacillus mucosae	97478	S	12528	11799	24327	0.00072
Limosilactobacillus oris	1632	S	7369	4691	12060	0.00036
Limosilactobacillus fermentum	1613	S	3941	2954	6895	0.00020
Limosilactobacillus ingluviei	148604	S	3593	790	4383	0.00013
Limosilactobacillus allomucosae	3142938	S	1982	2772	4754	0.00014
Limosilactobacillus pontis	35787	S	508	173	681	0.00002
Acetilactobacillus jinshanensis	1720083	S	403416	48	403464	0.01193
Paucilactobacillus suebicus	152335	S	112809	36470	149279	0.00441
Paucilactobacillus hokkaidonensis	1193095	S	108825	125552	234377	0.00693
Paucilactobacillus oligofermentans	293371	S	65774	26215	91989	0.00272
Paucilactobacillus nenjiangensis	1296540	S	55032	54868	109900	0.00325
Nicoliella spurrieriana	2925830	S	334020	9978	343998	0.01017
Weissella paramesenteroides	1249	S	59232	18116	77348	0.00229
Weissella sagaensis	2559928	S	34656	18123	52779	0.00156
Weissella jogaejeotgali	1631871	S	29889	12517	42406	0.00125
Weissella koreensis	165096	S	28999	10670	39669	0.00117
Weissella soli	155866	S	20468	2394	22862	0.00068
Weissella diestrammenae	1162633	S	17433	887	18320	0.00054
Weissella viridescens	1629	S	15856	837	16693	0.00049
Weissella ceti	759620	S	11461	51635	63096	0.00187
Weissella coleopterorum	2714949	S	11041	693	11734	0.00035
Weissella cibaria	137591	S	9941	2004	11945	0.00035
Weissella confusa	1583	S	8837	2152	10989	0.00032
Leuconostoc mesenteroides	1245	S	46516	20939	67455	0.00199
Leuconostoc gasicomitatum	115778	S	20487	17958	38445	0.00114
Leuconostoc gelidum	1244	S	3053	72	3125	0.00009
Leuconostoc carnosum	1252	S	37012	21525	58537	0.00173
Leuconostoc pseudomesenteroides	33968	S	21463	5062	26525	0.00078
Leuconostoc sp. JNUCC 76	3469800	S	20335	4257	24592	0.00073
Leuconostoc sp. C2	979982	S	44	665	709	0.00002
Leuconostoc citreum	33964	S	19878	45246	65124	0.00193
Leuconostoc falkenbergense	2766470	S	10221	5967	16188	0.00048
Leuconostoc lactis	1246	S	8577	5959	14536	0.00043
Leuconostoc suionicum	1511761	S	118	751	869	0.00003
Leuconostoc garlicum	255248	S	36	80	116	0.00000
Leuconostoc kimchii	136609	S	11	136	147	0.00000
Lactiplantibacillus plantarum	1590	S	54799	103786	158585	0.00469
Lactiplantibacillus brownii	3069269	S	33664	17163	50827	0.00150
Lactiplantibacillus pentosus	1589	S	29492	18412	47904	0.00142
Lactiplantibacillus paraplantarum	60520	S	16558	8321	24879	0.00074
Lactiplantibacillus carotarum	2993456	S	13519	4253	17772	0.00053
Lactiplantibacillus xiangfangensis	942150	S	13419	6065	19484	0.00058
Lactiplantibacillus argentoratensis	271881	S	949	2671	3620	0.00011
Loigolactobacillus backii	375175	S	127657	201968	329625	0.00975
Loigolactobacillus coryniformis	1610	S	40400	42151	82551	0.00244
Loigolactobacillus bifermentans	1607	S	14732	10287	25019	0.00074
Levilactobacillus brevis	1580	S	48014	40838	88852	0.00263
Levilactobacillus suantsaii	2292255	S	32560	33247	65807	0.00195
Levilactobacillus namurensis	380393	S	23284	12371	35655	0.00105
Levilactobacillus parabrevis	357278	S	17708	8924	26632	0.00079
Levilactobacillus yonginensis	1054041	S	9096	12243	21339	0.00063
Levilactobacillus cerevisiae	1704076	S	7693	7682	15375	0.00045
Levilactobacillus zymae	267363	S	4061	1495	5556	0.00016
Levilactobacillus koreensis	637971	S	1133	209	1342	0.00004
Liquorilactobacillus nagelii	82688	S	57980	34194	92174	0.00273
Liquorilactobacillus hordei	468911	S	44329	31582	75911	0.00224
Liquorilactobacillus mali	1618	S	29506	21522	51028	0.00151
Liquorilactobacillus satsumensis	259059	S	16965	8039	25004	0.00074
Bombilactobacillus bombi	1303590	S	67103	1994	69097	0.00204
Bombilactobacillus thymidiniphilus	2923363	S	41451	2548	43999	0.00130
Bombilactobacillus folatiphilus	2923362	S	20474	842	21316	0.00063
Dellaglioa kimchii	3344667	S	73299	52007	125306	0.00371
Dellaglioa sp. L3N	3470102	S	49937	5293	55230	0.00163
Fructobacillus americanaquae	2940302	S	123930	3593	127523	0.00377
Secundilactobacillus malefermentans	176292	S	58073	45149	103222	0.00305
Secundilactobacillus paracollinoides	240427	S	34555	35199	69754	0.00206
Oenococcus oeni	1247	S	35453	10063	45516	0.00135
Oenococcus alcoholitolerans	931074	S	19305	7355	26660	0.00079
Oenococcus kitaharae	336988	S	17478	3290	20768	0.00061
Oenococcus sicerae	2203724	S	12819	1729	14548	0.00043
Lacticaseibacillus paracasei	1597	S	28322	19996	48318	0.00143
Lacticaseibacillus rhamnosus	47715	S	13545	3800	17345	0.00051
Lacticaseibacillus saniviri	931533	S	11526	733	12259	0.00036
Lacticaseibacillus manihotivorans	88233	S	10712	7041	17753	0.00052
Lacticaseibacillus pantheris	171523	S	8044	6350	14394	0.00043
Lacticaseibacillus pabuli	3025672	S	6100	2352	8452	0.00025
Lacticaseibacillus chiayiensis	2100821	S	5885	1067	6952	0.00021
Lacticaseibacillus zeae	57037	S	1070	999	2069	0.00006
Lacticaseibacillus parahuelsenbergensis	3068305	S	627	1167	1794	0.00005
Lacticaseibacillus casei	1582	S	30	297	327	0.00001
Latilactobacillus sakei	1599	S	23095	26672	49767	0.00147
Latilactobacillus curvatus	28038	S	22619	22316	44935	0.00133
Latilactobacillus fuchuensis	164393	S	12758	571	13329	0.00039
Latilactobacillus graminis	60519	S	12137	1796	13933	0.00041
Latilactobacillus sp. 5-91	3410924	S	1036	1493	2529	0.00007
Periweissella cryptocerci	2506420	S	67498	1448	68946	0.00204
Furfurilactobacillus rossiae	231049	S	43312	25247	68559	0.00203
Furfurilactobacillus milii	2888272	S	8715	3779	12494	0.00037
Furfurilactobacillus cerevisiae	3480032	S	3545	8676	12221	0.00036
Holzapfeliella sp. JNUCC 80	3469802	S	25806	20191	45997	0.00136
Holzapfeliella sp. JNUCC 72	3469806	S	11869	8568	20437	0.00060
Agrilactobacillus fermenti	2586909	S	59835	6006	65841	0.00195
Xylocopilactobacillus apis	2932183	S	40354	486	40840	0.00121
Xylocopilactobacillus apicola	2932184	S	6060	64	6124	0.00018
Lapidilactobacillus dextrinicus	51664	S	24304	2367	26671	0.00079
Schleiferilactobacillus harbinensis	304207	S	11972	741	12713	0.00038
Amylolactobacillus amylophilus	1603	S	2000	2110	4110	0.00012
Enterococcus sp. 22-H-5-01	3418555	S	20891	2451	23342	0.00069
Enterococcus sp. DIV0724b	2774694	S	17760	1891	19651	0.00058
Enterococcus sp. DIV0876	2774633	S	7767	671	8438	0.00025
Enterococcus sp. AZ009	2774766	S	6990	66194	73184	0.00216
Enterococcus sp. AZ170	2774747	S	5738	601	6339	0.00019
Enterococcus sp. DIV0212c	2230867	S	5084	577	5661	0.00017
Enterococcus sp. DIV0210g	2774656	S	3679	821	4500	0.00013
Enterococcus sp. DIV0800	2774646	S	1410	333	1743	0.00005
Enterococcus sp. DIV1639a	2774724	S	351	1628	1979	0.00006
Enterococcus sp. DIV1767	2774670	S	339	966	1305	0.00004
Enterococcus sp. DIV2432	2774762	S	333	2965	3298	0.00010
Enterococcus sp. FZMF	3050383	S	229	1078	1307	0.00004
Enterococcus sp. AZ188	2774678	S	155	1249	1404	0.00004
