name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillaceae	33958	F	13627903	829585	14457488	0.42749
Enterococcaceae	81852	F	808211	538906	1347117	0.03983
Streptococcaceae	1300	F	468672	282562	751234	0.02221
Carnobacteriaceae	186828	F	291878	122874	414752	0.01226
Aerococcaceae	186827	F	75587	16482	92069	0.00272
Bacillaceae	186817	F	1095953	170981	1266934	0.03746
Staphylococcaceae	90964	F	682372	190634	873006	0.02581
Caryophanaceae	186818	F	152745	35073	187818	0.00555
Paenibacillaceae	186822	F	107244	4798	112042	0.00331
Listeriaceae	186820	F	96990	33398	130388	0.00386
Gemellaceae	539738	F	38709	6445	45154	0.00134
Anoxybacillaceae	3120669	F	15361	11941	27302	0.00081
Fictibacillaceae	3120697	F	10730	10599	21329	0.00063
Sporolactobacillaceae	186821	F	6135	240	6375	0.00019
Alicyclobacillaceae	186823	F	5079	200	5279	0.00016
Guptibacillaceae	3421337	F	2911	1095	4006	0.00012
Thermoactinomycetaceae	186824	F	588	53	641	0.00002
Abyssicoccaceae	3076164	F	519	368	887	0.00003
Clostridiaceae	31979	F	321690	26527	348217	0.01030
Oscillospiraceae	216572	F	16114	4784	20898	0.00062
Peptococcaceae	186807	F	9223	378	9601	0.00028
Desulfitobacteriaceae	2937909	F	6693	886	7579	0.00022
Syntrophomonadaceae	68298	F	5677	228	5905	0.00017
Eubacteriaceae	186806	F	3851	2170	6021	0.00018
Clostridiales Family XVII. Incertae Sedis	539000	F	2306	1034	3340	0.00010
Acutalibacteraceae	3082771	F	2754	397	3151	0.00009
Aristaeellaceae	3046368	F	1000	3	1003	0.00003
Fusibacteraceae	3679999	F	937	15	952	0.00003
Proteinivoracaceae	1491775	F	643	12	655	0.00002
Desulfotomaculaceae	2937910	F	143	159	302	0.00001
Heliobacteriaceae	31984	F	102	1	103	0.00000
Butyricicoccaceae	3085642	F	33	5	38	0.00000
Thermincolaceae	2937911	F	17	2	19	0.00000
Desulfallaceae	2867375	F	14	0	14	0.00000
Peptostreptococcaceae	186804	F	72281	14762	87043	0.00257
Natronincolaceae	3118656	F	12136	304	12440	0.00037
Caminicellaceae	3118654	F	6964	522	7486	0.00022
Anaerovoracaceae	543314	F	6273	772	7045	0.00021
Filifactoraceae	3118655	F	1681	206	1887	0.00006
Thermotaleaceae	3118657	F	278	26	304	0.00001
Lachnospiraceae	186803	F	76426	19511	95937	0.00284
Vallitaleaceae	2603322	F	8050	224	8274	0.00024
Cellulosilyticaceae	3018741	F	7717	286	8003	0.00024
Anaerotignaceae	3118652	F	276	17	293	0.00001
Defluviitaleaceae	1185407	F	102	46	148	0.00000
Halobacteroidaceae	53434	F	12459	7016	19475	0.00058
Halanaerobiaceae	972	F	6145	114	6259	0.00019
Halothermotrichaceae	3046412	F	331	1	332	0.00001
Tepidanaerobacteraceae	2770092	F	7755	157	7912	0.00023
Thermosediminibacteraceae	2770093	F	10	0	10	0.00000
Natranaerofabaceae	2807496	F	6038	12	6050	0.00018
Natranaerobiaceae	485255	F	80	0	80	0.00000
Thermoanaerobacteraceae	186814	F	5887	1112	6999	0.00021
Candidatus Desulforudaceae	3399799	F	18	0	18	0.00000
Desulfitibacteraceae	3039170	F	1459	9	1468	0.00004
Neomoorellaceae	3039168	F	506	1	507	0.00001
Acetivibrionaceae	3120654	F	1957	3631	5588	0.00017
Koleobacteraceae	2786988	F	900	16	916	0.00003
Monoglobaceae	3085657	F	181	138	319	0.00001
Christensenellaceae	990719	F	14	5	19	0.00000
Mahellaceae	3120709	F	14	3	17	0.00000
Coprobacillaceae	2810280	F	44741	21513	66254	0.00196
Erysipelotrichaceae	128827	F	39365	10664	50029	0.00148
Turicibacteraceae	2810281	F	16780	1552	18332	0.00054
Peptoniphilaceae	1570339	F	43703	21702	65405	0.00193
Tissierellaceae	1737406	F	9469	171	9640	0.00029
Tepidimicrobiaceae	2992719	F	6589	1291	7880	0.00023
Acidilutibacteraceae	2992717	F	2983	1300	4283	0.00013
Gottschalkiaceae	2042895	F	2876	67	2943	0.00009
Thermohalobacteraceae	2848916	F	1939	120	2059	0.00006
Sporanaerobacteraceae	2992718	F	361	24991	25352	0.00075
Sporomusaceae	1843490	F	22285	1420	23705	0.00070
Selenomonadaceae	1843491	F	10933	245	11178	0.00033
Veillonellaceae	31977	F	19143	726	19869	0.00059
Acidaminococcaceae	909930	F	345	128	473	0.00001
Caldicellulosiruptoraceae	3071002	F	27025	2949	29974	0.00089
Dethiobacteraceae	3086088	F	1911	5	1916	0.00006
Geochordaceae	3366852	F	26	0	26	0.00000
Limnochordaceae	1676650	F	10	0	10	0.00000
Mycoplasmataceae	2092	F	63641	16733	80374	0.00238
Candidatus Hepatoplasmataceae	3132029	F	4489	686	5175	0.00015
Spiroplasmataceae	2131	F	52577	1890	54467	0.00161
Entomoplasmataceae	33925	F	8229	1512	9741	0.00029
Acholeplasmataceae	2146	F	20279	1770	22049	0.00065
Candidatus Izemoplasmataceae	2975520	F	11941	184	12125	0.00036
Hujiaoplasmataceae	3078170	F	89	21	110	0.00000
Metamycoplasmataceae	2895623	F	51864	13552	65416	0.00193
Mycoplasmoidaceae	2790998	F	6135	808	6943	0.00021
Microbacteriaceae	85023	F	10794	666	11460	0.00034
Micrococcaceae	1268	F	4202	4162	8364	0.00025
Dermabacteraceae	85020	F	1816	209	2025	0.00006
Brevibacteriaceae	85019	F	477	60	537	0.00002
Promicromonosporaceae	85017	F	430	582	1012	0.00003
Intrasporangiaceae	85021	F	415	48	463	0.00001
Cellulomonadaceae	85016	F	364	53	417	0.00001
Ruaniaceae	1331736	F	188	7	195	0.00001
Ornithinimicrobiaceae	2805590	F	147	13	160	0.00000
Dermacoccaceae	145357	F	130	25	155	0.00000
Sanguibacteraceae	145360	F	48	5	53	0.00000
Beutenbergiaceae	125316	F	42	25	67	0.00000
Demequinaceae	1042322	F	36	2	38	0.00000
Dermatophilaceae	85018	F	35	1	36	0.00000
Kytococcaceae	2805426	F	22	7	29	0.00000
Streptomycetaceae	2062	F	23222	2384	25606	0.00076
Carbonactinosporaceae	2864377	F	14	0	14	0.00000
Corynebacteriaceae	1653	F	7517	1509	9026	0.00027
Mycobacteriaceae	1762	F	5241	293	5534	0.00016
Nocardiaceae	85025	F	3552	177	3729	0.00011
Gordoniaceae	85026	F	736	72	808	0.00002
Tsukamurellaceae	85028	F	67	4	71	0.00000
Dietziaceae	85029	F	59	30	89	0.00000
Bifidobacteriaceae	31953	F	15091	2044	17135	0.00051
Pseudonocardiaceae	2070	F	9799	218	10017	0.00030
Actinomycetaceae	2049	F	7190	893	8083	0.00024
Streptosporangiaceae	2004	F	2723	118	2841	0.00008
Nocardiopsidaceae	83676	F	2388	65	2453	0.00007
Thermomonosporaceae	2012	F	1056	45	1101	0.00003
Nocardioidaceae	85015	F	4065	250	4315	0.00013
Propionibacteriaceae	31957	F	687	44	731	0.00002
Kribbellaceae	2726069	F	314	6	320	0.00001
Actinopolymorphaceae	2805400	F	21	0	21	0.00000
Candidatus Nanopelagicaceae	2162846	F	4081	24	4105	0.00012
Micromonosporaceae	28056	F	2872	65	2937	0.00009
Geodermatophilaceae	85030	F	167	7	174	0.00001
Jatrophihabitantaceae	2805416	F	114	1	115	0.00000
Frankiaceae	74712	F	108	8	116	0.00000
Kineosporiaceae	83778	F	97	4	101	0.00000
Allobogoriellaceae	145358	F	74	8	82	0.00000
Nakamurellaceae	85031	F	65	1	66	0.00000
Jiangellaceae	1217100	F	52	1	53	0.00000
Actinopolysporaceae	622451	F	44	0	44	0.00000
Glycomycetaceae	85034	F	29	33	62	0.00000
Catenulisporaceae	414877	F	14	0	14	0.00000
Sporichthyaceae	85033	F	13	4	17	0.00000
Atopobiaceae	1643824	F	495	202	697	0.00002
Coriobacteriaceae	84107	F	15	4	19	0.00000
Eggerthellaceae	1643826	F	100	35	135	0.00000
Iamiaceae	633392	F	102	4	106	0.00000
Candidatus Poriferisodalaceae	2983189	F	57	0	57	0.00000
Ilumatobacteraceae	2448023	F	35	0	35	0.00000
Candidatus Hopanoidivoransaceae	2983183	F	23	0	23	0.00000
Acidimicrobiaceae	84994	F	19	0	19	0.00000
Capillimicrobiaceae	2976758	F	63	4	67	0.00000
Baekduiaceae	2600303	F	47	2	49	0.00000
Conexibacteraceae	320583	F	41	2	43	0.00000
Paraconexibacteraceae	2758916	F	21	0	21	0.00000
Miltoncostaeaceae	2843199	F	17	0	17	0.00000
Egicoccaceae	1755824	F	87	3	90	0.00000
Euzebyaceae	908622	F	12	0	12	0.00000
Rubrobacteraceae	84997	F	51	0	51	0.00000
Nostocaceae	1162	F	22122	1206	23328	0.00069
Aphanizomenonaceae	1892259	F	4554	357	4911	0.00015
Hapalosiphonaceae	1892263	F	2580	20	2600	0.00008
