name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Apilactobacillus	2767877	G	2114451	69905	2184356	0.06560
Fructobacillus	559173	G	2026777	52257	2079034	0.06244
Nicoliella	2978367	G	1170657	31793	1202450	0.03611
Lactobacillus	1578	G	1163582	162567	1326149	0.03983
Fructilactobacillus	2767881	G	1072625	123646	1196271	0.03593
Lentilactobacillus	2767893	G	807890	209927	1017817	0.03057
Ligilactobacillus	2767887	G	584180	121426	705606	0.02119
Pediococcus	1253	G	575950	328968	904918	0.02718
Companilactobacillus	2767879	G	525105	92418	617523	0.01855
Acetilactobacillus	2767874	G	455309	49	455358	0.01368
Limosilactobacillus	2742598	G	449858	133022	582880	0.01751
Weissella	46255	G	293897	49946	343843	0.01033
Paucilactobacillus	2767890	G	280743	170713	451456	0.01356
Levilactobacillus	2767886	G	268723	123473	392196	0.01178
Leuconostoc	1243	G	266579	59509	326088	0.00979
Lactiplantibacillus	2767842	G	252508	186034	438542	0.01317
Loigolactobacillus	2767889	G	162357	203007	365364	0.01097
Liquorilactobacillus	2767888	G	144990	78522	223512	0.00671
Bombilactobacillus	2767878	G	122495	3374	125869	0.00378
Lacticaseibacillus	2759736	G	119415	61548	180963	0.00543
Latilactobacillus	2767885	G	108910	38662	147572	0.00443
Dellaglioa	2767880	G	96708	35499	132207	0.00397
Secundilactobacillus	2767892	G	85876	62911	148787	0.00447
Oenococcus	46254	G	84353	10332	94685	0.00284
Furfurilactobacillus	2767882	G	60870	25510	86380	0.00259
Holzapfeliella	2767883	G	56080	2357	58437	0.00175
Agrilactobacillus	2767875	G	48271	4688	52959	0.00159
Periweissella	2930384	G	43756	875	44631	0.00134
Xylocopilactobacillus	3118928	G	35360	159	35519	0.00107
Lapidilactobacillus	2767884	G	21065	1840	22905	0.00069
Schleiferilactobacillus	2767891	G	13414	754	14168	0.00043
Amylolactobacillus	2767876	G	1970	1859	3829	0.00011
Enterococcus	1350	G	434375	452424	886799	0.02663
Vagococcus	2737	G	180365	48854	229219	0.00688
Tetragenococcus	51668	G	58921	93610	152531	0.00458
Melissococcus	33969	G	8821	406	9227	0.00028
Streptococcus	1301	G	371483	70117	441600	0.01326
Lactococcus	1357	G	63151	70790	133941	0.00402
Pseudolactococcus	3436058	G	24605	5810	30415	0.00091
Floricoccus	1930830	G	4676	255	4931	0.00015
Carnobacterium	2747	G	118851	31679	150530	0.00452
Jeotgalibaca	1470540	G	28670	9679	38349	0.00115
Granulicatella	117563	G	22488	33572	56060	0.00168
Dolosigranulum	29393	G	18917	1293	20210	0.00061
Desemzia	82800	G	11178	12441	23619	0.00071
Marinilactibacillus	191769	G	9277	4455	13732	0.00041
Alkalibacterium	99906	G	8421	454	8875	0.00027
Trichococcus	82802	G	1442	234	1676	0.00005
Alloiococcus	1651	G	205	17	222	0.00001
Aerococcus	1375	G	30041	8288	38329	0.00115
Globicatella	13075	G	16701	4849	21550	0.00065
Ignavigranum	89092	G	13142	1402	14544	0.00044
Tuanshanicoccus	3465067	G	12336	1247	13583	0.00041
Ruoffia	2862144	G	7010	3715	10725	0.00032
Fundicoccus	2761542	G	6539	926	7465	0.00022
Abiotrophia	46123	G	3951	1040	4991	0.00015
Suicoccus	2689587	G	1140	422	1562	0.00005
Bacillus	1386	G	203071	74112	277183	0.00832
Lysinibacillus	400634	G	81206	12062	93268	0.00280
Neobacillus	2675232	G	62321	10586	72907	0.00219
Virgibacillus	84406	G	47774	3259	51033	0.00153
Psychrobacillus	1221880	G	37759	4529	42288	0.00127
Oceanobacillus	182709	G	33729	4850	38579	0.00116
Peribacillus	2675229	G	32607	6828	39435	0.00118
Cytobacillus	2675230	G	31787	6890	38677	0.00116
Priestia	2800373	G	30117	5131	35248	0.00106
Niallia	2837506	G	29266	6161	35427	0.00106
Heyndrickxia	2837504	G	23387	5702	29089	0.00087
Halobacillus	45667	G	17374	1361	18735	0.00056
