name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Apilactobacillus apisilvae	2923364	S	755053	60353	815406	0.02374
Apilactobacillus bombintestini	2419772	S	461609	47855	509464	0.01483
Apilactobacillus kunkeei	148814	S	445937	100922	546859	0.01592
Apilactobacillus apinorum	1218495	S	249505	63203	312708	0.00910
Fructobacillus americanaquae	2940302	S	2026777	52326	2079103	0.06053
Nicoliella spurrieriana	2925830	S	1170657	31822	1202479	0.03501
Lactobacillus sp. PV034	2594495	S	38576	3506	42082	0.00123
Lactobacillus sp. 3B(2020)	2695882	S	37959	13203	51162	0.00149
Lactobacillus sp. CBA3605	2099788	S	28820	16174	44994	0.00131
Lactobacillus sp. ESL0680	2983210	S	28500	2273	30773	0.00090
Lactobacillus sp. CBA3606	2099789	S	25180	28211	53391	0.00155
Lactobacillus sp. ESL0785	2983232	S	17244	961	18205	0.00053
Lactobacillus sp. ESL0677	2983208	S	13138	1460	14598	0.00043
Lactobacillus sp. IBH004	2879107	S	12841	1359	14200	0.00041
Lactobacillus sp. ESL0681	2983211	S	10429	19656	30085	0.00088
Lactobacillus sp. ESL0684	2983213	S	8623	17833	26456	0.00077
Lactobacillus sp. PV037	2594496	S	6892	32509	39401	0.00115
Lactobacillus sp. PV012	2594494	S	1695	11514	13209	0.00038
Lactobacillus sp. wkB8	1545702	S	1322	2080	3402	0.00010
Lactobacillus johnsonii	33959	S	63464	24184	87648	0.00255
Lactobacillus iners	147802	S	47909	12155	60064	0.00175
Lactobacillus crispatus	47770	S	42782	30197	72979	0.00212
Lactobacillus kefiranofaciens	267818	S	41978	24958	66936	0.00195
Lactobacillus apis	303541	S	39207	1649	40856	0.00119
Lactobacillus amylovorus	1604	S	38155	19379	57534	0.00168
Lactobacillus helveticus	1587	S	33553	30957	64510	0.00188
Lactobacillus terrae	2269374	S	31611	1260	32871	0.00096
Lactobacillus panisapium	2012495	S	27940	907	28847	0.00084
Lactobacillus gasseri	1596	S	26484	83129	109613	0.00319
Lactobacillus intestinalis	151781	S	25544	1733	27277	0.00079
Lactobacillus jensenii	109790	S	24999	5240	30239	0.00088
Lactobacillus isalae	2993455	S	24235	5383	29618	0.00086
Lactobacillus helsingborgensis	1218494	S	23963	18348	42311	0.00123
Lactobacillus acidophilus	1579	S	21909	2043	23952	0.00070
Lactobacillus ultunensis	227945	S	21105	2041	23146	0.00067
Lactobacillus mulieris	2508708	S	20657	4041	24698	0.00072
Lactobacillus amylolyticus	83683	S	16038	2960	18998	0.00055
Lactobacillus acetotolerans	1600	S	12772	2656	15428	0.00045
Lactobacillus taiwanensis	508451	S	11298	3521	14819	0.00043
