name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Lactobacillaceae	33958	F	15141449	820836	15962285	0.47939
Enterococcaceae	81852	F	708569	569205	1277774	0.03838
Streptococcaceae	1300	F	469155	141733	610888	0.01835
Carnobacteriaceae	186828	F	224261	89016	313277	0.00941
Aerococcaceae	186827	F	92940	19813	112753	0.00339
Bacillaceae	186817	F	941931	110382	1052313	0.03160
Staphylococcaceae	90964	F	517325	153193	670518	0.02014
Paenibacillaceae	186822	F	145091	4904	149995	0.00450
Caryophanaceae	186818	F	119368	23874	143242	0.00430
Listeriaceae	186820	F	69481	16925	86406	0.00260
Gemellaceae	539738	F	24619	4103	28722	0.00086
Anoxybacillaceae	3120669	F	18056	20768	38824	0.00117
Sporolactobacillaceae	186821	F	11228	388	11616	0.00035
Fictibacillaceae	3120697	F	9686	1974	11660	0.00035
Alicyclobacillaceae	186823	F	7223	137	7360	0.00022
Thermoactinomycetaceae	186824	F	3249	196	3445	0.00010
Guptibacillaceae	3421337	F	2365	803	3168	0.00010
Abyssicoccaceae	3076164	F	2317	1474	3791	0.00011
Clostridiaceae	31979	F	236931	18984	255915	0.00769
Oscillospiraceae	216572	F	15261	3780	19041	0.00057
Eubacteriaceae	186806	F	12142	4449	16591	0.00050
Desulfitobacteriaceae	2937909	F	10383	648	11031	0.00033
Peptococcaceae	186807	F	8383	275	8658	0.00026
Syntrophomonadaceae	68298	F	3875	159	4034	0.00012
Clostridiales Family XVII. Incertae Sedis	539000	F	1939	1502	3441	0.00010
Clostridiales Family XVI. Incertae Sedis	543347	F	212	401	613	0.00002
Acutalibacteraceae	3082771	F	3159	274	3433	0.00010
Proteinivoracaceae	1491775	F	1111	8	1119	0.00003
Fusibacteraceae	3679999	F	818	10	828	0.00002
Heliobacteriaceae	31984	F	660	6	666	0.00002
Aristaeellaceae	3046368	F	585	0	585	0.00002
Desulfotomaculaceae	2937910	F	200	95	295	0.00001
Butyricicoccaceae	3085642	F	108	33	141	0.00000
Desulfallaceae	2867375	F	103	0	103	0.00000
Thermincolaceae	2937911	F	53	3	56	0.00000
Symbiobacteriaceae	543349	F	41	0	41	0.00000
Peptostreptococcaceae	186804	F	56860	7295	64155	0.00193
Natronincolaceae	3118656	F	13097	274	13371	0.00040
Anaerovoracaceae	543314	F	8295	191	8486	0.00025
Caminicellaceae	3118654	F	5397	291	5688	0.00017
Filifactoraceae	3118655	F	1031	1012	2043	0.00006
Thermotaleaceae	3118657	F	443	27	470	0.00001
Peptoclostridiaceae	3120161	F	18	1	19	0.00000
Lachnospiraceae	186803	F	63821	14255	78076	0.00234
Vallitaleaceae	2603322	F	7297	215	7512	0.00023
Cellulosilyticaceae	3018741	F	4180	122	4302	0.00013
Anaerotignaceae	3118652	F	1262	34	1296	0.00004
Defluviitaleaceae	1185407	F	360	100	460	0.00001
Halobacteroidaceae	53434	F	10541	23	10564	0.00032
Halanaerobiaceae	972	F	5603	115	5718	0.00017
Halothermotrichaceae	3046412	F	1299	151	1450	0.00004
Thermoanaerobacteraceae	186814	F	4699	644	5343	0.00016
Candidatus Desulforudaceae	3399799	F	110	0	110	0.00000
Desulfitibacteraceae	3039170	F	1747	7	1754	0.00005
Neomoorellaceae	3039168	F	1098	2	1100	0.00003
Zhaonellaceae	2748673	F	53	1	54	0.00000
Tepidanaerobacteraceae	2770092	F	2251	20	2271	0.00007
