name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillota	1239	P	20612457	671568	21284025	0.63908
Mycoplasmatota	544448	P	193717	5518	199235	0.00598
Actinomycetota	201174	P	186872	9989	196861	0.00591
Cyanobacteriota	1117	P	109354	200	109554	0.00329
Chloroflexota	200795	P	1809	1	1810	0.00005
Armatimonadota	67819	P	68	0	68	0.00000
Vulcanimicrobiota	1154676	P	22	0	22	0.00000
Pseudomonadota	1224	P	2735673	282220	3017893	0.09062
Bacteroidota	976	P	644926	9209	654135	0.01964
Ignavibacteriota	1134404	P	3663	5	3668	0.00011
Chlorobiota	1090	P	1232	5	1237	0.00004
Balneolota	1936987	P	754	5	759	0.00002
Rhodothermota	1853220	P	206	0	206	0.00001
Fidelibacterota	62680	P	850	1	851	0.00003
Fibrobacterota	65842	P	358	3	361	0.00001
Gemmatimonadota	142182	P	248	0	248	0.00001
Candidatus Cloacimonadota	456828	P	130	0	130	0.00000
Campylobacterota	29547	P	130853	3120	133973	0.00402
Spirochaetota	203691	P	29173	524	29697	0.00089
Planctomycetota	203682	P	12293	8	12301	0.00037
Chlamydiota	204428	P	9246	95	9341	0.00028
Verrucomicrobiota	74201	P	2204	12	2216	0.00007
Lentisphaerota	256845	P	251	0	251	0.00001
Kiritimatiellota	134625	P	64	17	81	0.00000
Thermodesulfobacteriota	200940	P	18878	332	19210	0.00058
Bdellovibrionota	3018035	P	9629	56	9685	0.00029
Aquificota	200783	P	6228	18	6246	0.00019
Myxococcota	2818505	P	4504	29	4533	0.00014
Acidobacteriota	57723	P	4498	5	4503	0.00014
Nitrospirota	40117	P	3689	32	3721	0.00011
Deferribacterota	200930	P	1221	13	1234	0.00004
Thermodesulfobiota	3002442	P	904	3	907	0.00003
Caldisericota	67814	P	460	0	460	0.00001
Atribacterota	67818	P	431	0	431	0.00001
Dictyoglomota	68297	P	250	0	250	0.00001
Elusimicrobiota	74152	P	191	0	191	0.00001
Chrysiogenota	200938	P	80	12	92	0.00000
Thermomicrobiota	3027942	P	70	0	70	0.00000
Thermosulfidibacterota	3123113	P	64	0	64	0.00000
Coprothermobacterota	2138240	P	49	2	51	0.00000
Nitrospinota	1293497	P	33	0	33	0.00000
Zhurongbacterota	3470743	P	31	0	31	0.00000
Calditrichota	1930617	P	22	0	22	0.00000
Fusobacteriota	32066	P	72730	2848	75578	0.00227
Thermotogota	200918	P	8002	176	8178	0.00025
Synergistota	508458	P	5536	2	5538	0.00017
Deinococcota	1297	P	2543	1449	3992	0.00012
Candidatus Absconditibacteriota	221235	P	1294	75	1369	0.00004
Candidatus Saccharimonadota	95818	P	399	0	399	0.00001
Candidatus Fervidibacterota	1383058	P	171	38	209	0.00001
Candidatus Bipolaricaulota	67810	P	10	3695	3705	0.00011
Streptophyta	35493	P	5948470	681063	6629533	0.19906
Chlorophyta	3041	P	1600	34	1634	0.00005
Chordata	7711	P	414034	166272	580306	0.01742
Ascomycota	4890	P	78079	10466	88545	0.00266
Basidiomycota	5204	P	21154	1259	22413	0.00067
Mucoromycota	1913637	P	26762	1607	28369	0.00085
Microsporidia	6029	P	1714	21	1735	0.00005
Apicomplexa	5794	P	46885	1671	48556	0.00146
Ciliophora	5878	P	30	0	30	0.00000
Bacillariophyta	2836	P	970	0	970	0.00003
Oomycota	4762	P	610	1	611	0.00002
Parabasalia	5719	P	6397	33	6430	0.00019
Fornicata	207245	P	1272	3	1275	0.00004
Evosea	2605435	P	4054	283	4337	0.00013
Euglenozoa	33682	P	1229	3	1232	0.00004
Rhodophyta	2763	P	150	71	221	0.00001
Methanobacteriota	28890	P	42122	809	42931	0.00129
Thermoplasmatota	2283796	P	1838	0	1838	0.00006
Nitrososphaerota	651137	P	4680	8	4688	0.00014
Thermoproteota	28889	P	4002	4	4006	0.00012
Promethearchaeota	3366641	P	1996	6	2002	0.00006
Nanobdellota	192989	P	422	43	465	0.00001
Uroviricota	2731618	P	15617	64	15681	0.00047
Peploviricota	2731361	P	425	0	425	0.00001
Nucleocytoviricota	2732007	P	3168	23	3191	0.00010
Preplasmiviricota	2732008	P	29	0	29	0.00000
Duplornaviricota	2732405	P	1951	0	1951	0.00006
Negarnaviricota	2497569	P	603	0	603	0.00002
Pisuviricota	2732408	P	104	0	104	0.00000
Kitrinoviricota	2732406	P	35	0	35	0.00000
Cressdnaviricota	2732416	P	202	0	202	0.00001
Cossaviricota	2732415	P	11	0	11	0.00000
Commensaviricota	3412625	P	11	0	11	0.00000
Taleaviricota	2840024	P	55	0	55	0.00000
