Kingdom	Phylum	Class	Order	Family	Genus	GenusLabel	B-VEN-D9
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces	0.251125923257071
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus	0.188749774815349
Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Cephalosporium	Cephalosporium	0.167379751396145
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium	0.112299585660241
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma	0.0473563321923978
Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia	0.0423797513961448
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Yarrowia	Yarrowia	0.017159070437759
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum	0.0162808502972437
Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium	0.0149747793190416
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula	0.0149297423887588
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces	0.0142541884345163
Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora	0.0131057467123041
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	Volutella	0.0130607097820213
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus	0.0129706359214556
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia	0.0125202666186273
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus	Zygoascus	0.00918753377769771
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida	0.00749864889209152
Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum	0.00682309493784904
Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia	0.0064853179607278
Fungi	Ascomycota	NA	NA	NA	NA	Unclassified_44	0.00587731940190957
Fungi	NA	NA	NA	NA	NA	Unclassified_24	0.00571969014591965
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora	0.0038056206088993
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	Barnettozyma	0.00376058367861647
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria	0.00337776977121239
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	Kurtzmaniella	0.00276977121239416
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia	0.00119347865249505
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella	0.000990812466222302
Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	Unclassified_8	0.000900738605656638
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	Unclassified_21	0.000517924698252567
Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	Neocosmospora	0.000450369302828319
