name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Floricoccus	1930830	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	0.0170	0.0320	0.0150
Carnobacterium	2747	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.4040	0.6360	0.4520
Jeotgalibaca	1470540	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.1240	0.1100	0.1150
Dolosigranulum	29393	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0910	0.1050	0.0610
Granulicatella	117563	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.1340	0.2120	0.1680
Desemzia	82800	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0610	0.1110	0.0710
Marinilactibacillus	191769	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0310	0.0290	0.0410
Alkalibacterium	99906	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0190	0.0200	0.0270
Trichococcus	82802	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0110	0.0030	0.0050
Alloiococcus	1651	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	0.0010	0.0000	0.0010
Aerococcus	1375	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0860	0.0570	0.1150
Ignavigranum	89092	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0340	0.0570	0.0440
Tuanshanicoccus	3465067	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0270	0.0380	0.0410
Globicatella	13075	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0290	0.0490	0.0650
Fundicoccus	2761542	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0180	0.0240	0.0220
Ruoffia	2862144	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0200	0.0260	0.0320
Abiotrophia	46123	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0110	0.0190	0.0150
Suicoccus	2689587	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	0.0100	0.0030	0.0050
Bacillus	1386	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.7290	0.9370	0.8320
Lysinibacillus	400634	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.2640	0.3540	0.2800
Neobacillus	2675232	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.2060	0.2990	0.2190
Virgibacillus	84406	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.1200	0.1680	0.1530
Priestia	2800373	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.2310	0.2130	0.1060
Niallia	2837506	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.1060	0.1160	0.1060
Peribacillus	2675229	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.1030	0.1720	0.1180
Oceanobacillus	182709	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0960	0.1360	0.1160
Cytobacillus	2675230	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.1020	0.1380	0.1160
Psychrobacillus	1221880	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0930	0.1720	0.1270
Metabacillus	2675233	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0700	0.1550	0.0620
Halobacillus	45667	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0520	0.0430	0.0560
Heyndrickxia	2837504	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0640	0.1260	0.0870
Sutcliffiella	2837511	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0410	0.0380	0.0270
Amphibacillus	29331	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0390	0.0580	0.0550
Cerasibacillus	227864	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0380	0.0130	0.0030
Pontibacillus	289201	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0330	0.0380	0.0440
Alkalihalobacillus	2675234	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0320	0.0330	0.0370
Rossellomorea	2837508	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0280	0.0120	0.0170
Mesobacillus	2675231	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0270	0.0120	0.0200
Shouchella	2893057	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0220	0.0120	0.0150
Gracilibacillus	74385	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0200	0.0210	0.0340
Lentibacillus	175304	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0190	0.0260	0.0190
Aciduricibacillus	3158337	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0200	0.0280	0.0130
Anaerobacillus	704093	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0190	0.0200	0.0160
Paraliobacillus	200903	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0170	0.0270	0.0240
Salipaludibacillus	1884449	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0160	0.0220	0.0230
Halalkalibacterium (ex Joshi et al. 2022)	2893055	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0180	0.0340	0.0160
Radiobacillus	2785518	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0160	0.0070	0.0280
Alkalibacillus	331654	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0140	0.0110	0.0140
Schinkia	2837509	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0130	0.0110	0.0090
Ectobacillus	2837502	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0120	0.0220	0.0170
Gottfriedia	2837503	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0120	0.0290	0.0190
Fervidibacillus	3033930	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0120	0.0110	0.0190
Lederbergia	2804231	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0100	0.0230	0.0120
Ornithinibacillus	484508	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0130	0.0220	0.0190
Halalkalibacter	2893056	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0110	0.0120	0.0230
Salicibibacter	2685905	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0080	0.0020	0.0090
Evansella	2837485	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0080	0.0200	0.0170
Robertmurraya	2837507	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0080	0.0050	0.0120
Terribacillus	459532	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0070	0.0120	0.0040
Tepidibacillus	1494427	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0070	0.0280	0.0060
Aeribacillus	1055323	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0150	0.0110	0.0060
Alkalihalophilus	2893060	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0070	0.0090	0.0100
Siminovitchia	2837510	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0070	0.0020	0.0050
Salimicrobium	351195	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0050	0.0010	0.0020
Mangrovibacillus	2920444	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0050	0.0070	0.0050
Domibacillus	1433999	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0050	0.0010	0.0020
Paraperibacillus	3450404	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0040	0.0010	0.0050
Pradoshia	2651279	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0040	0.0080	0.0160
Salisediminibacterium	1434042	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0030	0.0040	0.0110
Falsibacillus	1270155	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0030	0.0010	0.0000
Alkalicoccus	2005375	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0030	0.0140	0.0050
Caldifermentibacillus	3034001	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0350	0.0260	0.1210
Paenalkalicoccus	2944627	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0050	0.0080	0.0040
Pseudobacillus	108525	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0030	0.0060	0.0020
Allobacillus	1400133	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0020	0.0000	0.0010
Caldalkalibacillus	379065	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0020	0.0060	0.0090
Sediminibacillus	482460	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	0.0010	0.0000	0.0010
Staphylococcus	1279	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	1.5990	2.2820	1.7120
Mammaliicoccus	2803850	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0760	0.1430	0.1090
Macrococcus	69965	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0780	0.0930	0.0940
Macrococcoides	3076173	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0380	0.0480	0.0560
Jeotgalicoccus	227979	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0120	0.0070	0.0120
Nosocomiicoccus	489909	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0100	0.0040	0.0260
Salinicoccus	45669	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	0.0080	0.0050	0.0050
Paenibacillus	44249	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.3910	0.3020	0.3780
Brevibacillus	55080	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0390	0.0180	0.0390
Aneurinibacillus	55079	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0100	0.0040	0.0170
Cohnella	329857	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0080	0.0060	0.0130
Pristimantibacillus (SeqCode)	2994560	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0020	0.0010	0.0030
Thermobacillus	76632	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0010	0.0000	0.0000
Saccharibacillus	456492	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Paenibacillaceae	0.0000	0.0000	0.0010
Sporosarcina	1569	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.1050	0.1180	0.0860
Planococcus	1372	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0610	0.0880	0.0840
Rummeliibacillus	648802	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0550	0.0750	0.0410
Paenisporosarcina	651660	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0410	0.0600	0.0620
Ureibacillus	160795	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0710	0.0940	0.0640
Solibacillus	648800	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0310	0.0290	0.0410
Viridibacillus	496496	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0160	0.0200	0.0020
Kurthia	1649	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0130	0.0450	0.0340
Metasolibacillus	2703677	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0090	0.0160	0.0100
Chryseomicrobium	889388	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0100	0.0040	0.0030
Jeotgalibacillus	157226	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Caryophanaceae	0.0030	0.0060	0.0020
Listeria	1637	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Listeriaceae	0.2160	0.3430	0.2240
Brochothrix	2755	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Listeriaceae	0.0340	0.0360	0.0260
Paenilisteria	3373705	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Listeriaceae	0.0090	0.0070	0.0090
Anoxybacillus	150247	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0320	0.0370	0.0350
Geobacillus	129337	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0140	0.0410	0.0170
Parageobacillus	1906945	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0070	0.0010	0.0130
Thermaerobacillus	3390020	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0040	0.0020	0.0030
Anoxybacteroides	3389905	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0030	0.0000	0.0010
Saccharococcus	29395	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	0.0020	0.0000	0.0010
Exiguobacterium	33986	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales		0.0500	0.0220	0.0450
Gemella	1378	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Gemellaceae	0.0500	0.1340	0.0860
Fictibacillus	1329200	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Fictibacillaceae	0.0260	0.0390	0.0280
Pseudalkalibacillus	2893058	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Fictibacillaceae	0.0130	0.0020	0.0070
Alicyclobacillus	29330	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	0.0130	0.0040	0.0100
Tumebacillus	432330	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	0.0060	0.0080	0.0040
Kyrpidia	1129704	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	0.0010	0.0000	0.0000
Effusibacillus	1502725	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	0.0010	0.0030	0.0060
Fodinisporobacter	3156481	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	0.0010	0.0010	0.0020
Sporolactobacillus	2077	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	0.0140	0.0180	0.0330
Pullulanibacillus	475230	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Sporolactobacillaceae	0.0060	0.0010	0.0020
Guptibacillus	3421338	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Guptibacillaceae	0.0170	0.0120	0.0100
Kroppenstedtia	1274351	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0040	0.0000	0.0010
Novibacillus	1677050	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0020	0.0010	0.0020
Thermoactinomyces	2023	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0020	0.0000	0.0070
Staphylospora	2689589	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0010	0.0000	0.0000
Polycladomyces	1348505	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0010	0.0000	0.0000
Laceyella	292635	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	0.0000	0.0000	0.0000
Abyssicoccus	1955413	G	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Abyssicoccaceae	0.0030	0.0030	0.0110
Clostridium	1485	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.5410	0.9050	0.6890
Caloramator	44258	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0170	0.0280	0.0180
Crassaminicella	1848399	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0140	0.0250	0.0150
Wukongibacter	1884926	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0070	0.0020	0.0040
Haloimpatiens	1755832	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0060	0.0340	0.0100
Sarcina	1266	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0050	0.0170	0.0080
Candidatus Neoarthromitus	49082	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0030	0.0040	0.0050
Oceanirhabdus	1434026	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0020	0.0090	0.0070
Hathewaya	1769729	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0020	0.0040	0.0120
Proteiniclasticum	1155385	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0010	0.0000	0.0000
Lactonifactor	420345	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	0.0000	0.0010	0.0010
Ruminococcus	1263	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0110	0.0210	0.0120
Caproicibacterium	2834348	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0080	0.0050	0.0050
Fastidiosipila	236752	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0110	0.0170	0.0070
Amygdalobacter	3079925	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0040	0.0010	0.0010
Paludihabitans	2038676	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0030	0.0060	0.0050
Faecalibacterium	216851	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0050	0.0070	0.0080
Ruminiclostridium	1508657	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0030	0.0020	0.0020
Acidaminobacterium	3570270	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0020	0.0010	0.0030
Thermoclostridium	2304691	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0020	0.0010	0.0070
Petroclostridium	2304687	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Pusillibacter	2892397	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0020	0.0000	0.0000
Owariibacterium	3393728	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0020	0.0000	0.0010
Bengtsoniella	3389389	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Lawsonibacter	2172004	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Vescimonas	2892396	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Mageeibacillus	1637257	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Oscillibacter	459786	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Anaerotruncus	244127	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0010	0.0000	0.0000
Solibaculum	2842531	G	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	0.0000	0.0000	0.0000
