name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Acetilactobacillus	2767874	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	14.6550	1.1930	1.3680
Apilactobacillus	2767877	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	5.4790	7.2640	6.5600
Nicoliella	2978367	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	4.5320	1.0170	3.6110
Lactobacillus	1578	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	3.6090	4.8760	3.9830
Fructilactobacillus	2767881	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	3.2330	3.7640	3.5930
Lentilactobacillus	2767893	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	2.8630	3.3910	3.0570
Fructobacillus	559173	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.9240	0.3770	6.2440
Limosilactobacillus	2742598	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	2.1050	1.8240	1.7510
Ligilactobacillus	2767887	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.8900	2.5070	2.1190
Companilactobacillus	2767879	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.6530	2.4550	1.8550
Pediococcus	1253	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	2.2670	2.9440	2.7180
Levilactobacillus	2767886	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.4450	0.7710	1.1780
Lactiplantibacillus	2767842	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.3180	0.9550	1.3170
Weissella	46255	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.9630	1.0880	1.0330
Paucilactobacillus	2767890	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.0750	1.7320	1.3560
Leuconostoc	1243	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.7520	0.9360	0.9790
Loigolactobacillus	2767889	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	1.1930	1.2930	1.0970
Lacticaseibacillus	2759736	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.4960	0.3830	0.5430
Liquorilactobacillus	2767888	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.5370	0.7220	0.6710
Latilactobacillus	2767885	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.4380	0.3680	0.4430
Secundilactobacillus	2767892	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.5640	0.5120	0.4470
Furfurilactobacillus	2767882	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.3320	0.2760	0.2590
Bombilactobacillus	2767878	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.2470	0.3980	0.3780
Dellaglioa	2767880	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.3190	0.5340	0.3970
Periweissella	2930384	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.2250	0.2040	0.1340
Oenococcus	46254	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.2100	0.3180	0.2840
Holzapfeliella	2767883	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.1490	0.1960	0.1760
Agrilactobacillus	2767875	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.1320	0.1950	0.1590
Xylocopilactobacillus	3118928	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.0920	0.1390	0.1070
Schleiferilactobacillus	2767891	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.0600	0.0380	0.0430
Lapidilactobacillus	2767884	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.0590	0.0790	0.0690
Amylolactobacillus	2767876	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	0.0120	0.0120	0.0110
Enterococcus	1350	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	2.0120	2.7950	2.6630
Vagococcus	2737	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	0.4150	0.7440	0.6880
Tetragenococcus	51668	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	0.2340	0.3960	0.4580
Melissococcus	33969	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	0.0460	0.0500	0.0280
Streptococcus	1301	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	1.1090	1.2110	1.3260
Lactococcus	1357	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	0.4560	0.8950	0.4020
Pseudolactococcus	3436058	G	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	0.0810	0.0840	0.0910
