name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Chloroflexaceae	1106	F	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Chloroflexales	0.0010	0.0000	0.0000
Roseiflexaceae	1508635	F	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Chloroflexales	0.0000	0.0000	0.0000
Candidatus Chloroheliaceae	3139177	F	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Candidatus Chloroheliales	0.0010	0.0000	0.0000
Candidatus Thermobaculaceae	3399778	F	Bacteria	Bacillati	Chloroflexota	Chloroflexia	Candidatus Thermobaculales	0.0000	0.0000	0.0000
Candidatus Promineifilaceae	3085097	F	Bacteria	Bacillati	Chloroflexota	Ardenticatenia	Candidatus Promineifilales	0.0020	0.0000	0.0020
Anaerolineaceae	292628	F	Bacteria	Bacillati	Chloroflexota	Anaerolineae	Anaerolineales	0.0010	0.0000	0.0010
Dehalococcoidaceae	1202464	F	Bacteria	Bacillati	Chloroflexota	Dehalococcoidia	Dehalococcoidales	0.0010	0.0000	0.0010
Candidatus Lucifugimonadaceae	3143248	F	Bacteria	Bacillati	Chloroflexota	Dehalococcoidia	Candidatus Lucifugimonadales	0.0000	0.0000	0.0000
Thermoflexaceae	1495648	F	Bacteria	Bacillati	Chloroflexota	Thermoflexia	Thermoflexales	0.0010	0.0000	0.0000
Phototrophicaceae	2922432	F	Bacteria	Bacillati	Chloroflexota	Candidatus Thermofontia	Phototrophicales	0.0000	0.0000	0.0000
Ktedonosporobacteraceae	2692416	F	Bacteria	Bacillati	Chloroflexota	Ktedonobacteria	Ktedonobacterales	0.0000	0.0000	0.0000
Caldilineaceae	475964	F	Bacteria	Bacillati	Chloroflexota	Caldilineae	Caldilineales	0.0000	0.0000	0.0000
Tepidiformaceae	2682227	F	Bacteria	Bacillati	Chloroflexota	Tepidiformia	Tepidiformales	0.0000	0.0000	0.0000
Capsulimonadaceae	2494208	F	Bacteria	Bacillati	Armatimonadota	Armatimonadia	Capsulimonadales	0.0000	0.0000	0.0000
Chthonomonadaceae	1077264	F	Bacteria	Bacillati	Armatimonadota	Chthonomonadia	Chthonomonadales	0.0000	0.0000	0.0000
Vulcanimicrobiaceae	2829291	F	Bacteria	Bacillati	Vulcanimicrobiota	Vulcanimicrobiia	Vulcanimicrobiales	0.0000	0.0000	0.0000
Acetobacteraceae	433	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	4.4930	0.4030	1.9490
Roseomonadaceae	3385906	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	0.0450	0.0060	0.0280
Acidocellaceae	3385905	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	0.0210	0.0020	0.0100
Elioraeaceae	2690195	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Acetobacterales	0.0020	0.0000	0.0010
Rhizobiaceae	82115	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.2170	0.0480	0.1240
Bartonellaceae	772	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.1030	0.0390	0.0480
Nitrobacteraceae	41294	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0950	0.0190	0.0520
Phyllobacteriaceae	69277	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0700	0.0180	0.0320
Stappiaceae	2821832	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0470	0.0100	0.0250
Brucellaceae	118882	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0510	0.0070	0.0130
Methylobacteriaceae	119045	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0380	0.0050	0.0230
Devosiaceae	2831106	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0300	0.0050	0.0130
Methylocystaceae	31993	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0160	0.0030	0.0070
Hyphomicrobiaceae	45401	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0140	0.0010	0.0050
Xanthobacteraceae	335928	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0150	0.0020	0.0090
Parvibaculaceae	2813035	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0130	0.0010	0.0050
Aurantimonadaceae	255475	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0150	0.0030	0.0090
Beijerinckiaceae	45404	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0100	0.0010	0.0030
Boseaceae	2831100	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0100	0.0010	0.0050
Cohaesibacteraceae	655351	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0070	0.0000	0.0020
Ahrensiaceae	2829814	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0100	0.0010	0.0040
Reyranellaceae	2844375	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0030	0.0000	0.0020
Lichenihabitantaceae	2723775	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0000	0.0000
Coralliovaceae	3228937	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0000	0.0000
Rhodoligotrophaceae	3149308	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0000	0.0000
Phreatobacteraceae	2843305	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0000	0.0010
Salinarimonadaceae	2137278	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0010	0.0020
Terrirubraceae	3142785	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Pleomorphomonadaceae	2843308	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0020	0.0000	0.0010
Kaistiaceae	2831111	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Salaquimonadaceae	3149307	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Amorphaceae	2685818	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Afifellaceae	2829802	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Aestuariivirgaceae	2650922	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0000
Alsobacteraceae	2792775	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Methylopilaceae	3149309	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0000
Blastochloridaceae	2831090	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0010	0.0000	0.0010
Chelatococcaceae	2036754	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0000	0.0000	0.0000
Ancalomicrobiaceae	2172021	F	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	0.0000	0.0000	0.0000
