name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Corynebacteriaceae	1653	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0680	0.0270	0.0660
Mycobacteriaceae	1762	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0500	0.0160	0.0300
Nocardiaceae	85025	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0300	0.0110	0.0160
Gordoniaceae	85026	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0110	0.0020	0.0040
Tsukamurellaceae	85028	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0020	0.0000	0.0010
Dietziaceae	85029	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0010	0.0000	0.0010
Lawsonellaceae	2805586	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0010	0.0000	0.0000
Hoyosellaceae	3040680	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	0.0000	0.0000	0.0000
Bifidobacteriaceae	31953	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Bifidobacteriales	0.0650	0.0510	0.0790
Nocardioidaceae	85015	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	0.0240	0.0130	0.0120
Propionibacteriaceae	31957	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	0.0210	0.0020	0.0060
Kribbellaceae	2726069	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	0.0050	0.0010	0.0020
Actinopolymorphaceae	2805400	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	0.0000	0.0000	0.0000
Pseudonocardiaceae	2070	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Pseudonocardiales	0.0400	0.0300	0.0320
Micromonosporaceae	28056	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	0.0340	0.0090	0.0190
Actinomycetaceae	2049	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinomycetales	0.0350	0.0240	0.0140
Streptosporangiaceae	2004	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	0.0080	0.0080	0.0040
Thermomonosporaceae	2012	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	0.0050	0.0030	0.0050
Nocardiopsidaceae	83676	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Streptosporangiales	0.0020	0.0070	0.0020
Candidatus Nanopelagicaceae	2162846	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Candidatus Nanopelagicales	0.0100	0.0120	0.0050
Geodermatophilaceae	85030	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Geodermatophilales	0.0020	0.0010	0.0010
Allobogoriellaceae	145358	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Allobogoriellales	0.0010	0.0000	0.0010
Jatrophihabitantaceae	2805416	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Jatrophihabitantales	0.0010	0.0000	0.0010
Nakamurellaceae	85031	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Nakamurellales	0.0010	0.0000	0.0000
Kineosporiaceae	83778	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Kineosporiales	0.0010	0.0000	0.0010
Frankiaceae	74712	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	0.0010	0.0000	0.0010
Sporichthyaceae	85033	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Sporichthyales	0.0010	0.0000	0.0000
Glycomycetaceae	85034	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Glycomycetales	0.0010	0.0000	0.0000
Catenulisporaceae	414877	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Catenulisporales	0.0010	0.0000	0.0000
Jiangellaceae	1217100	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Jiangellales	0.0000	0.0000	0.0000
Actinopolysporaceae	622451	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Actinopolysporales	0.0000	0.0000	0.0000
Acidothermaceae	85032	F	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Acidothermales	0.0000	0.0000	0.0000
Eggerthellaceae	1643826	F	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Eggerthellales	0.0050	0.0000	0.0020
Atopobiaceae	1643824	F	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	0.0020	0.0020	0.0050
Coriobacteriaceae	84107	F	Bacteria	Bacillati	Actinomycetota	Coriobacteriia	Coriobacteriales	0.0010	0.0000	0.0010
Iamiaceae	633392	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0020	0.0000	0.0010
Candidatus Hopanoidivoransaceae	2983183	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0020	0.0000	0.0000
Candidatus Poriferisodalaceae	2983189	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0010	0.0000	0.0010
Acidimicrobiaceae	84994	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0010	0.0000	0.0000
Ilumatobacteraceae	2448023	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0000	0.0000	0.0000
Salinilacustritrichaceae	3436874	F	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	0.0000	0.0000	0.0000
Baekduiaceae	2600303	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	0.0020	0.0000	0.0000
Conexibacteraceae	320583	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	0.0010	0.0000	0.0000
Paraconexibacteraceae	2758916	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	0.0000	0.0000	0.0000
Capillimicrobiaceae	2976758	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Solirubrobacterales	0.0000	0.0000	0.0000
Miltoncostaeaceae	2843199	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Miltoncostaeales	0.0000	0.0000	0.0000
Thermoleophilaceae	320796	F	Bacteria	Bacillati	Actinomycetota	Thermoleophilia	Thermoleophilales	0.0000	0.0000	0.0000
Egicoccaceae	1755824	F	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Egicoccales	0.0020	0.0000	0.0010
Euzebyaceae	908622	F	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Euzebyales	0.0000	0.0000	0.0000
Egibacteraceae	1747769	F	Bacteria	Bacillati	Actinomycetota	Nitriliruptoria	Egibacterales	0.0000	0.0000	0.0000
Rubrobacteraceae	84997	F	Bacteria	Bacillati	Actinomycetota	Rubrobacteria	Rubrobacterales	0.0010	0.0000	0.0000
