name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Chlorophyta	3041	P	Eukaryota	Viridiplantae	0.0100	0.0040	0.0050
Chordata	7711	P	Eukaryota	Metazoa	1.0130	1.7060	1.7420
Ascomycota	4890	P	Eukaryota	Fungi	0.4240	0.2230	0.2660
Basidiomycota	5204	P	Eukaryota	Fungi	0.0590	0.0780	0.0670
Mucoromycota	1913637	P	Eukaryota	Fungi	0.0410	0.1310	0.0850
Microsporidia	6029	P	Eukaryota	Fungi	0.0030	0.0040	0.0050
Apicomplexa	5794	P	Eukaryota		0.0860	0.1600	0.1460
Ciliophora	5878	P	Eukaryota		0.0000	0.0000	0.0000
Bacillariophyta	2836	P	Eukaryota		0.0040	0.0000	0.0030
Oomycota	4762	P	Eukaryota		0.0030	0.0010	0.0020
Cercozoa	136419	P	Eukaryota		0.0000	0.0000	0.0000
Parabasalia	5719	P	Eukaryota		0.0170	0.0320	0.0190
Fornicata	207245	P	Eukaryota		0.0020	0.0060	0.0040
Evosea	2605435	P	Eukaryota		0.0160	0.0280	0.0130
Euglenozoa	33682	P	Eukaryota		0.0140	0.0020	0.0040
Rhodophyta	2763	P	Eukaryota		0.0010	0.0000	0.0010
Methanobacteriota	28890	P	Archaea	Methanobacteriati	0.1140	0.1750	0.1290
Thermoplasmatota	2283796	P	Archaea	Methanobacteriati	0.0050	0.0060	0.0060
Nitrososphaerota	651137	P	Archaea	Thermoproteati	0.0310	0.0210	0.0140
Thermoproteota	28889	P	Archaea	Thermoproteati	0.0160	0.0190	0.0120
Promethearchaeota	3366641	P	Archaea	Promethearchaeati	0.0070	0.0090	0.0060
Nanobdellota	192989	P	Archaea	Nanobdellati	0.0010	0.0030	0.0010
Microcaldota	1801631	P	Archaea	Nanobdellati	0.0000	0.0000	0.0000
Candidatus Nanohalarchaeota	1462430	P	Archaea	Nanobdellati	0.4820	0.0000	0.0000
Uroviricota	2731618	P	Viruses	Heunggongvirae	0.0370	0.0270	0.0470
Peploviricota	2731361	P	Viruses	Heunggongvirae	0.0010	0.0000	0.0010
Nucleocytoviricota	2732007	P	Viruses	Bamfordvirae	0.0070	0.0180	0.0100
Lenarviricota	2732407	P	Viruses	Orthornavirae	0.0040	0.0000	0.0000
Negarnaviricota	2497569	P	Viruses	Orthornavirae	0.0010	0.0020	0.0020
Pisuviricota	2732408	P	Viruses	Orthornavirae	0.0010	0.0000	0.0000
Duplornaviricota	2732405	P	Viruses	Orthornavirae	0.0000	0.0000	0.0060
Kitrinoviricota	2732406	P	Viruses	Orthornavirae	0.0000	0.0000	0.0000
Artverviricota	2732409	P	Viruses	Pararnavirae	0.0040	0.0000	0.0000
Cressdnaviricota	2732416	P	Viruses	Shotokuvirae	0.0010	0.0000	0.0010
Cossaviricota	2732415	P	Viruses	Shotokuvirae	0.0000	0.0000	0.0000
Hofneiviricota	2732410	P	Viruses	Loebvirae	0.0000	0.0000	0.0000
Taleaviricota	2840024	P	Viruses	Zilligvirae	0.0000	0.0000	0.0000
Candidatus Bipolaricaulota	67810	P	Bacteria		0.0000	0.0000	0.0110
Preplasmiviricota	2732008	P	Viruses	Bamfordvirae	0.0000	0.0000	0.0000
Commensaviricota	3412625	P	Viruses	Shotokuvirae	0.0000	0.0000	0.0000
