name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Acetilactobacillus jinshanensis	1720083	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	14.5970	1.1930	1.3260
Apilactobacillus apisilvae	2923364	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	1.8490	2.9270	2.3740
Apilactobacillus kunkeei	148814	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	1.5380	1.4810	1.5920
Apilactobacillus bombintestini	2419772	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	1.2490	1.8100	1.4840
Apilactobacillus apinorum	1218495	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	0.8210	1.0460	0.9110
Nicoliella spurrieriana	2925830	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Nicoliella	4.5140	1.0170	3.5020
Lactobacillus sp. 3B(2020)	2695882	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1540	0.1720	0.1490
Lactobacillus sp. PV034	2594495	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1150	0.1870	0.1230
Lactobacillus sp. CBA3605	2099788	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1480	0.1300	0.1310
Lactobacillus sp. ESL0785	2983232	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0880	0.0850	0.0530
Lactobacillus sp. CBA3606	2099789	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1700	0.1720	0.1550
Lactobacillus sp. ESL0680	2983210	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0670	0.0810	0.0900
Lactobacillus sp. IBH004	2879107	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0300	0.0440	0.0410
Lactobacillus sp. ESL0684	2983213	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0800	0.0940	0.0770
Lactobacillus sp. ESL0677	2983208	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0190	0.0220	0.0430
Lactobacillus sp. ESL0681	2983211	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0630	0.2160	0.0880
Lactobacillus sp. PV037	2594496	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0780	0.0420	0.1150
Lactobacillus sp. PV012	2594494	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0460	0.0190	0.0380
Lactobacillus sp. wkB8	1545702	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0100	0.0070	0.0100
Lactobacillus kefiranofaciens	267818	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.3620	0.4830	0.1950
Lactobacillus johnsonii	33959	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1700	0.2870	0.2550
Lactobacillus terrae	2269374	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1240	0.1240	0.0960
Lactobacillus iners	147802	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1490	0.2560	0.1750
Lactobacillus helveticus	1587	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.2060	0.1970	0.1880
Lactobacillus apis	303541	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0960	0.1290	0.1190
Lactobacillus jensenii	109790	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1100	0.1880	0.0880
Lactobacillus amylolyticus	83683	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0920	0.1000	0.0550
Lactobacillus amylovorus	1604	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1070	0.1670	0.1680
Lactobacillus acidophilus	1579	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0760	0.1160	0.0700
Lactobacillus crispatus	47770	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1160	0.1290	0.2130
Lactobacillus gasseri	1596	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.2540	0.3440	0.3190
Lactobacillus acetotolerans	1600	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0770	0.1130	0.0450
Lactobacillus mulieris	2508708	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0700	0.1210	0.0720
Lactobacillus panisapium	2012495	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0600	0.0880	0.0840
Lactobacillus helsingborgensis	1218494	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0820	0.1920	0.1230
Lactobacillus ultunensis	227945	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0490	0.0530	0.0670
Lactobacillus isalae	2993455	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0540	0.1490	0.0860
Lactobacillus intestinalis	151781	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0450	0.0620	0.0790
Lactobacillus taiwanensis	508451	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0410	0.0640	0.0430
Lactobacillus xylocopicola	2976676	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0330	0.0360	0.0250
Lactobacillus delbrueckii	1584	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0300	0.0080	0.0220
Lactobacillus kullabergensis	1218493	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0220	0.0260	0.0200
Lactobacillus paragasseri	2107999	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.1010	0.1590	0.1420
Fructilactobacillus sp. Tb1	3422304	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.5560	0.7840	0.5530
Fructilactobacillus fructivorans	1614	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.3880	0.3750	0.3610
Fructilactobacillus lindneri	53444	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.4880	0.6920	0.5700
Fructilactobacillus vespulae	1249630	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.3640	0.4580	0.4590
Fructilactobacillus sanfranciscensis	1625	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.5130	0.6830	0.7230
Fructilactobacillus frigidiflavus	3242688	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.3880	0.4550	0.3810
Fructilactobacillus hinvesii	2940300	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.1480	0.0940	0.1390
Fructilactobacillus cliffordii	2940299	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.1600	0.1180	0.1150
Fructilactobacillus carniphilus	2940297	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.0870	0.0270	0.0730
Fructilactobacillus ixorae	1750535	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.0670	0.0490	0.0690
Fructilactobacillus myrtifloralis	2940301	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructilactobacillus	0.0640	0.0300	0.0410
Lentilactobacillus laojiaonis	2883998	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.7110	1.1150	0.7680
Lentilactobacillus terminaliae	3003483	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.3550	0.4410	0.3550
Lentilactobacillus hilgardii	1588	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.3770	0.4810	0.4110
Lentilactobacillus curieae	1138822	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.2780	0.3400	0.3560
Lentilactobacillus parabuchneri	152331	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.4250	0.3850	0.3760
Lentilactobacillus kefiri	33962	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.4470	0.3690	0.3330
Lentilactobacillus buchneri	1581	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	0.2580	0.2600	0.3660
Fructobacillus americanaquae	2940302	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	1.9160	0.3770	6.0540
Limosilactobacillus reuteri	1598	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.6310	0.7670	0.6300
Limosilactobacillus gastricus	227942	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.3400	0.2970	0.2250
Limosilactobacillus vaginalis	1633	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.2600	0.2610	0.2100
Limosilactobacillus frumenti	104955	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.1560	0.1410	0.1250
Limosilactobacillus panis	47493	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.1740	0.1270	0.1220
Limosilactobacillus fermentum	1613	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.1260	0.0200	0.0850
Limosilactobacillus portuensis	2742601	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.1320	0.0750	0.1110
Limosilactobacillus mucosae	97478	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.1110	0.0720	0.0620
Limosilactobacillus oris	1632	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.0730	0.0360	0.0720
Limosilactobacillus ingluviei	148604	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.0340	0.0130	0.0290
Limosilactobacillus pontis	35787	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.0300	0.0020	0.0130
Limosilactobacillus allomucosae	3142938	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	0.0300	0.0140	0.0140
Ligilactobacillus salivarius	1624	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.4740	0.8220	0.6180
Ligilactobacillus acidipiscis	89059	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.3270	0.4350	0.3050
Ligilactobacillus cholophilus	3050131	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.2370	0.4550	0.3220
Ligilactobacillus agilis	1601	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.1940	0.1690	0.1740
Ligilactobacillus murinus	1622	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.1600	0.1580	0.1350
Ligilactobacillus aviarius	1606	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.1150	0.0890	0.0790
