name	taxonomy_id	taxonomy_lvl	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	5MMH_5_pct_reads	6PEH_6_pct_reads	SVH11_Q11_pct_reads
Ligilactobacillus equi	137357	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0950	0.1130	0.1060
Ligilactobacillus saerimneri	228229	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0980	0.0820	0.1190
Ligilactobacillus ruminis	1623	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0550	0.0340	0.0550
Ligilactobacillus faecis	762833	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0440	0.0740	0.0590
Ligilactobacillus animalis	1605	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	0.0830	0.0770	0.0830
Companilactobacillus allii	1847728	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.2530	0.3090	0.2330
Companilactobacillus musae	1903258	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1760	0.3480	0.1820
Companilactobacillus crustorum	392416	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.2080	0.2880	0.2550
Companilactobacillus zhachilii	2304606	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1300	0.2210	0.1070
Companilactobacillus alimentarius	1602	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1440	0.2470	0.1630
Companilactobacillus paralimentarius	83526	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1330	0.2500	0.1480
Companilactobacillus ginsenosidimutans	1007676	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.0890	0.1010	0.1290
Companilactobacillus futsaii	938155	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1470	0.1450	0.1260
Companilactobacillus sp. DQM5	3463359	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.0790	0.1740	0.1320
Companilactobacillus farciminis	1612	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.1300	0.1080	0.0890
Companilactobacillus heilongjiangensis	1074467	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.0700	0.1300	0.0990
Companilactobacillus pabuli	2714036	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	0.0870	0.1350	0.1350
Pediococcus pentosaceus	1255	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.3660	0.5480	0.4530
Pediococcus argentinicus	480391	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.3840	0.5300	0.3680
Pediococcus claussenii	187452	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.2410	0.3610	0.3560
Pediococcus parvulus	54062	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.2600	0.3170	0.2770
Pediococcus ethanolidurans	319653	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.2330	0.2750	0.2520
Pediococcus damnosus	51663	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.2710	0.3320	0.3490
Pediococcus acidilactici	1254	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.2030	0.2860	0.2960
Pediococcus siamensis	381829	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.0970	0.0760	0.1310
Pediococcus inopinatus	114090	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.1990	0.2160	0.1530
Pediococcus sp. AC40	2962679	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	0.0040	0.0020	0.0010
Levilactobacillus brevis	1580	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.3110	0.2630	0.3280
Levilactobacillus suantsaii	2292255	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.2990	0.1950	0.1560
Levilactobacillus namurensis	380393	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.1940	0.1050	0.1070
Levilactobacillus cerevisiae	1704076	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.1820	0.0450	0.1310
Levilactobacillus parabrevis	357278	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.1310	0.0790	0.1060
Levilactobacillus yonginensis	1054041	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.1880	0.0630	0.1180
Levilactobacillus zymae	267363	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.0770	0.0160	0.0500
Levilactobacillus koreensis	637971	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	0.0560	0.0040	0.0480
Lactiplantibacillus pentosus	1589	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.2520	0.1420	0.2050
Lactiplantibacillus plantarum	1590	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.4300	0.4690	0.6000
Lactiplantibacillus paraplantarum	60520	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.1710	0.0740	0.1200
Lactiplantibacillus carotarum	2993456	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.1340	0.0530	0.0650
Lactiplantibacillus brownii	3069269	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.1510	0.1500	0.0940
Lactiplantibacillus xiangfangensis	942150	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.1440	0.0580	0.1640
Lactiplantibacillus argentoratensis	271881	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	0.0300	0.0110	0.0290
Weissella paramesenteroides	1249	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.2170	0.2290	0.1640
Weissella sagaensis	2559928	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.1160	0.1560	0.1160
Weissella confusa	1583	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0870	0.0320	0.0950
Weissella koreensis	165096	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0880	0.1170	0.0920
Weissella soli	155866	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0700	0.0680	0.0750
Weissella jogaejeotgali	1631871	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0850	0.1250	0.1050
Weissella viridescens	1629	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0490	0.0490	0.0410
Weissella cibaria	137591	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0510	0.0350	0.0650
Weissella ceti	759620	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.1450	0.1870	0.1670
Weissella coleopterorum	2714949	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0270	0.0350	0.0370
Weissella diestrammenae	1162633	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0200	0.0540	0.0370
Weissella tructae	887702	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	0.0040	0.0000	0.0080
Paucilactobacillus suebicus	152335	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	0.2950	0.4410	0.3420
Paucilactobacillus hokkaidonensis	1193095	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	0.3540	0.6930	0.4750
Paucilactobacillus oligofermentans	293371	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	0.1930	0.2720	0.2400
Paucilactobacillus nenjiangensis	1296540	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	0.2280	0.3250	0.2580
Leuconostoc mesenteroides	1245	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.1210	0.1990	0.1740
Leuconostoc gasicomitatum	115778	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0630	0.1140	0.0840
Leuconostoc gelidum	1244	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0120	0.0090	0.0220
Leuconostoc carnosum	1252	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.1050	0.1730	0.1590
Leuconostoc pseudomesenteroides	33968	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0640	0.0780	0.1100
Leuconostoc citreum	33964	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.1800	0.1930	0.1750
Leuconostoc lactis	1246	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0840	0.0430	0.0960
Leuconostoc sp. JNUCC 76	3469800	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0390	0.0730	0.0340
Leuconostoc sp. C2	979982	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0060	0.0020	0.0070
Leuconostoc sp. LN180020	2571156	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0010	0.0000	0.0060
Leuconostoc sp. MTCC 10508	2698683	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0010	0.0000	0.0000
Leuconostoc falkenbergense	2766470	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0480	0.0480	0.0610
Leuconostoc suionicum	1511761	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0180	0.0030	0.0110
Leuconostoc garlicum	255248	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0020	0.0000	0.0090
Leuconostoc kimchii	136609	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	0.0050	0.0000	0.0030
Loigolactobacillus backii	375175	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	0.7810	0.9750	0.6660
Loigolactobacillus coryniformis	1610	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	0.2900	0.2440	0.3040
Loigolactobacillus bifermentans	1607	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	0.1170	0.0740	0.0940
Lacticaseibacillus rhamnosus	47715	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0950	0.0510	0.0700
Lacticaseibacillus paracasei	1597	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.1300	0.1430	0.2550
Lacticaseibacillus manihotivorans	88233	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0650	0.0530	0.0390
Lacticaseibacillus saniviri	931533	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0370	0.0360	0.0320
Lacticaseibacillus pantheris	171523	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0480	0.0430	0.0340
Lacticaseibacillus pabuli	3025672	S	Bacteria	Bacillati	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	0.0370	0.0250	0.0360
