Kingdom	Phylum	Class	Order	Family	Genus	GenusLabel	B-VEN-D9
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces	11152
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus	8040
Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Cephalosporium	Cephalosporium	7433
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma	2103
Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia	1882
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum	788
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Yarrowia	Yarrowia	762
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium	671
Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula	663
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces	632
Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora	582
Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus	576
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia	556
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus	Zygoascus	408
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida	332
Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum	304
Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia	288
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora	169
Fungi	NA	NA	NA	NA	NA	Unclassified_32	169
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma	Barnettozyma	167
Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria	150
Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium	147
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Kurtzmaniella	Kurtzmaniella	123
Fungi	Ascomycota	NA	NA	NA	NA	Unclassified_12	85
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia	53
